---- START at 2025-08-18 09:57:06, Target=1779/1779 ----
[140/1779] NODKUN_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2331.3s, Completed=132/1779, ETA=2025-08-20 21:29:03
[106/1779] SIVWUR_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6099.5s, Completed=133/1779, ETA=2025-08-20 21:29:48
[129/1779] TAZLAJ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3913.0s, Completed=134/1779, ETA=2025-08-20 21:47:02
[151/1779] SOBZEQ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2141.4s, Completed=135/1779, ETA=2025-08-20 22:30:34
[153/1779] PEGBAG_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2227.1s, Completed=136/1779, ETA=2025-08-20 22:48:28
[156/1779] TAKGUK_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1541.4s, Completed=137/1779, ETA=2025-08-20 22:22:54
[160/1779] NADKEK_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=982.2s, Completed=138/1779, ETA=2025-08-20 21:59:30
[108/1779] NIGNUO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6584.9s, Completed=139/1779, ETA=2025-08-20 21:38:01
[138/1779] OQUFAJ04_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3661.8s, Completed=140/1779, ETA=2025-08-20 21:21:31
[159/1779] ICORAV_ion_b_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1556.3s, Completed=141/1779, ETA=2025-08-20 21:25:09
[111/1779] CUVXAT_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6744.1s, Completed=142/1779, ETA=2025-08-20 21:29:22
[155/1779] QUBWIU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2199.5s, Completed=143/1779, ETA=2025-08-20 21:48:30
[147/1779] VAGJET_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3483.7s, Completed=144/1779, ETA=2025-08-20 22:01:40
[122/1779] j.inoche.2015.12.019_1_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5686.8s, Completed=145/1779, ETA=2025-08-20 21:37:53
[144/1779] XEKCAT01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3709.9s, Completed=146/1779, ETA=2025-08-20 21:20:06
[150/1779] WAQFAX_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3332.2s, Completed=147/1779, ETA=2025-08-20 21:12:50
[172/1779] YIWPEZ_SL_part_O2_293.0K_5.0bar_14.0 Done. TimeForThis=807.5s, Completed=148/1779, ETA=2025-08-20 21:46:19
[166/1779] ATEZIK_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1254.2s, Completed=149/1779, ETA=2025-08-20 21:39:28
[103/1779] TIRRIW_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=8946.8s, Completed=150/1779, ETA=2025-08-20 21:15:57
[102/1779] FORTIR_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=9080.1s, Completed=151/1779, ETA=2025-08-20 21:07:33
[157/1779] ZEDLOL_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2872.1s, Completed=152/1779, ETA=2025-08-20 20:53:32
[141/1779] IFUNUU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4955.1s, Completed=153/1779, ETA=2025-08-20 22:00:22
[164/1779] TORKAO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2656.1s, Completed=154/1779, ETA=2025-08-20 22:32:12
[178/1779] ZARLEL_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1006.7s, Completed=155/1779, ETA=2025-08-20 22:16:48
[133/1779] UHUPET_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6737.1s, Completed=156/1779, ETA=2025-08-20 23:14:55
[154/1779] KIDDIM_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4691.4s, Completed=157/1779, ETA=2025-08-20 23:05:18
[162/1779] GAKBAX_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3525.9s, Completed=158/1779, ETA=2025-08-20 22:42:56
[173/1779] BAXSIE_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2297.0s, Completed=159/1779, ETA=2025-08-20 22:55:27
[170/1779] KOFPEB_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2834.1s, Completed=160/1779, ETA=2025-08-20 22:41:09
[185/1779] QIYDAF01_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=780.0s, Completed=161/1779, ETA=2025-08-20 22:25:32
[181/1779] JOKXEM10_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1985.3s, Completed=162/1779, ETA=2025-08-20 23:09:50
[152/1779] ALURIJ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5651.1s, Completed=163/1779, ETA=2025-08-20 23:01:47
[165/1779] BIHBEB_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3856.8s, Completed=164/1779, ETA=2025-08-20 23:25:21
[177/1779] ZOZCIC_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3206.2s, Completed=165/1779, ETA=2025-08-21 00:21:05
[182/1779] XAZGEK_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2839.1s, Completed=166/1779, ETA=2025-08-21 00:22:23
[186/1779] RAZXIA02_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=1676.1s, Completed=167/1779, ETA=2025-08-21 00:10:15
[174/1779] EJOZOU_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3689.4s, Completed=168/1779, ETA=2025-08-21 00:17:51
[188/1779] ULUVUT_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2193.6s, Completed=169/1779, ETA=2025-08-21 01:10:29
[148/1779] COKMEW_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=7540.3s, Completed=170/1779, ETA=2025-08-21 00:58:35
[189/1779] BUVVIZ_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2164.6s, Completed=171/1779, ETA=2025-08-21 00:54:03
[145/1779] ICAROV_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=7912.2s, Completed=172/1779, ETA=2025-08-21 00:41:38
[180/1779] KODPUP_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4029.3s, Completed=173/1779, ETA=2025-08-21 00:53:23
[149/1779] FOFHEO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=7818.3s, Completed=174/1779, ETA=2025-08-21 00:43:03
[194/1779] TESGOO_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2453.0s, Completed=175/1779, ETA=2025-08-21 02:29:08
[171/1779] DUBJUH_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=5926.1s, Completed=176/1779, ETA=2025-08-21 02:13:57
[168/1779] PENNUT_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=6216.3s, Completed=177/1779, ETA=2025-08-21 02:07:04
[187/1779] DEYJIC_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=3662.3s, Completed=178/1779, ETA=2025-08-21 02:02:34
[195/1779] XUJPOI_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2356.4s, Completed=179/1779, ETA=2025-08-21 01:58:34
[183/1779] AMIMAL_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=4597.8s, Completed=180/1779, ETA=2025-08-21 01:37:14
[198/1779] GEBCAT_clean_O2_293.0K_5.0bar_14.0 Done. TimeForThis=2124.9s, Completed=181/1779, ETA=2025-08-21 01:37:16
