GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_MEAN_HIGH_5,R2_MEAN_HIGH_15,R2_STD_HIGH_1,R2_STD_HIGH_5,R2_STD_HIGH_15,MAE_MEAN_HIGH_1,MAE_MEAN_HIGH_5,MAE_MEAN_HIGH_15,MAE_STD_HIGH_1,MAE_STD_HIGH_5,MAE_STD_HIGH_15,INPUT_HIGH_1,INPUT_HIGH_5,INPUT_HIGH_15
Ar,313,gbm,random_struct,0.1,0.9740582438326572,0.935708948611522,0.9569728166087368,0.0221711211794646,0.0162788284581749,0.0032185253869056,0.0079302301435152,0.0574452868367933,0.140740112001241,0.0014787527370707,0.0033421504364279,0.0029859370689898,struct+input,struct+input,struct+input
Ar,313,gbm,random_struct,0.5,0.989751842865598,0.9425584502069142,0.9614087878420442,0.0122894314074738,0.0161380024571884,0.0024826401594395,0.0051469000104164,0.05335650417348,0.1337606931208528,0.0009551534828728,0.003455453508906,0.0026679189285843,struct+input,struct+input,struct+input
Ar,313,rf,random_struct,0.01,0.9673409718061258,0.934538564081608,0.9521885607418672,0.0277955619285642,0.0156665574488632,0.0069768106114126,0.0109932804694151,0.062729904210415,0.1444115555749752,0.0016880530190909,0.0036620004434912,0.0043181557222767,struct+input,struct+input,struct+input
Ar,313,rf,random_struct,0.05,0.9683156401984768,0.9367235377942986,0.954720767385884,0.0261515861069656,0.0161496492218485,0.0065535402657976,0.0091470613849407,0.0578474030456173,0.1370609705144788,0.0016574651449155,0.0035722724618988,0.0032571609656702,struct+input,struct+input,struct+input
Ar,313,rf,random_struct,0.1,0.9695277774062256,0.9372248690933316,0.9554817620540988,0.0247620119678078,0.0155388994563542,0.0065936823017203,0.008445723348956,0.0567696719013032,0.1355561908499676,0.0015873558206261,0.003468266408034,0.0034916336110067,struct+input,struct+input,struct+input
Ar,313,rf,random_struct,0.5,0.9861908112819056,0.9472060687398214,0.9604087032725154,0.0138938748468012,0.014486463587496,0.0063712475011099,0.0056678346562578,0.0514318224888106,0.1283341250522763,0.0009575919852859,0.0033389074431777,0.0031434466082711,struct+input,struct+input,struct+input
H2,293,cat,random_struct,0.01,,0.5838371643221187,,,0.2591386856297958,,,0.0604251489009177,,,0.0084745885501958,,,struct+input,
H2,293,gbm,random_struct,0.01,,0.8042348343285847,,,0.2010577072747589,,,0.0489954561175131,,,0.0090284410872684,,,struct+input,
H2,293,rf,random_struct,0.01,,0.8045382880709099,,,0.1929974696851735,,,0.0499886521153312,,,0.0086084571400825,,,struct+input,
He,273,cat,random_struct,0.01,0.9626337130994128,0.9628295606374876,0.9612194736967206,0.0490054280375102,0.0486623894557701,0.0535625426947123,0.0011315052699552,0.0055317278419724,0.0162283110451645,5.6453890289582165e-05,0.0003187146003612,0.0009635103322064,struct+input,struct+input,struct+input
He,273,cat,random_struct,0.05,0.9638876663709794,0.9657117336752762,0.9629768923768818,0.0509637232577081,0.0471492117654482,0.0533563549804306,0.0008060677095705,0.0038855579897537,0.0114492215174593,5.287289159774514e-05,0.0002402754158464,0.0007870964820968,struct+input,struct+input,struct+input
He,273,cat,random_struct,0.1,0.9636761712801822,0.9660189834110776,0.9639665817588968,0.0520967693241606,0.0479085957727104,0.0537467837938465,0.0007027360760017,0.0034400921439928,0.0102039002250089,5.937327403936992e-05,0.0002373762529959,0.0007423106012152,struct+input,struct+input,struct+input
He,273,cat,random_struct,0.5,0.9652091275188106,0.9662941368634352,0.9643455722222384,0.0498349530070418,0.0460831058098433,0.053950719949799,0.0005917789969104,0.0028632158365496,0.0085628535305216,4.544825771821823e-05,0.000143639322545,0.0005854800051236,struct+input,struct+input,struct+input
