---- START at 2025-08-16 12:11:23, Target=2039/2039 ----
[142/2039] NUNPAP_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=137.6s, Completed=137/2039, ETA=2025-08-16 18:21:16
[135/2039] IROVES_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=259.3s, Completed=138/2039, ETA=2025-08-16 18:25:51
[108/2039] COWDEZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=563.5s, Completed=139/2039, ETA=2025-08-16 18:25:41
[151/2039] XEHFUL_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=120.5s, Completed=140/2039, ETA=2025-08-16 18:28:35
[149/2039] MITSUE_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=156.7s, Completed=141/2039, ETA=2025-08-16 18:32:25
[157/2039] PIDNIB_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=138.3s, Completed=142/2039, ETA=2025-08-16 18:34:40
[146/2039] MAYGAU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=221.1s, Completed=143/2039, ETA=2025-08-16 18:32:52
[160/2039] BIGZUO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=136.7s, Completed=144/2039, ETA=2025-08-16 18:32:12
[148/2039] NIMTAE_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=213.9s, Completed=145/2039, ETA=2025-08-16 18:32:09
[147/2039] OKUTEV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=221.3s, Completed=146/2039, ETA=2025-08-16 18:29:51
[144/2039] LUSHOX04_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=254.5s, Completed=147/2039, ETA=2025-08-16 18:27:55
[128/2039] SAQSOU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=428.3s, Completed=148/2039, ETA=2025-08-16 18:25:44
[153/2039] NAVJAW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=198.6s, Completed=149/2039, ETA=2025-08-16 18:26:45
[156/2039] RUFMUA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=188.8s, Completed=150/2039, ETA=2025-08-16 18:24:52
[154/2039] HOGLEV01_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=207.4s, Completed=151/2039, ETA=2025-08-16 18:24:32
[139/2039] EPEWEC_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=383.9s, Completed=152/2039, ETA=2025-08-16 18:25:03
[163/2039] SERJUV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=158.1s, Completed=153/2039, ETA=2025-08-16 18:24:14
[158/2039] TORJIV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=226.7s, Completed=154/2039, ETA=2025-08-16 18:24:52
[162/2039] DALTAO_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=204.0s, Completed=155/2039, ETA=2025-08-16 18:23:01
[143/2039] ic8004536-file004_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=356.6s, Completed=156/2039, ETA=2025-08-16 18:26:18
[159/2039] MIHLIZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=267.0s, Completed=157/2039, ETA=2025-08-16 18:27:15
[166/2039] BEXQUR_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=155.7s, Completed=158/2039, ETA=2025-08-16 18:24:55
[164/2039] VAMQIJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=207.8s, Completed=159/2039, ETA=2025-08-16 18:23:01
[152/2039] BASSOF_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=302.9s, Completed=160/2039, ETA=2025-08-16 18:21:39
[145/2039] HOWQAM_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=374.9s, Completed=161/2039, ETA=2025-08-16 18:21:13
[175/2039] IDUTUW_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=127.5s, Completed=162/2039, ETA=2025-08-16 18:23:56
[174/2039] MAGVOG16_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=132.9s, Completed=163/2039, ETA=2025-08-16 18:22:13
[171/2039] CAHVAJ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=154.7s, Completed=164/2039, ETA=2025-08-16 18:20:22
[170/2039] ULOLAK_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=167.2s, Completed=165/2039, ETA=2025-08-16 18:20:26
[155/2039] OTIPAK_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=342.9s, Completed=166/2039, ETA=2025-08-16 18:18:59
[150/2039] ZITWIK01_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=377.3s, Completed=167/2039, ETA=2025-08-16 18:18:47
[167/2039] OJAKOA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=212.5s, Completed=168/2039, ETA=2025-08-16 18:18:19
[178/2039] ORIBAU_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=159.7s, Completed=169/2039, ETA=2025-08-16 18:21:03
[168/2039] KONFEA_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=242.8s, Completed=170/2039, ETA=2025-08-16 18:20:49
[176/2039] IZEBEV_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=194.1s, Completed=171/2039, ETA=2025-08-16 18:19:28
[161/2039] UCOXOZ_clean_helium_313.0K_5.0bar_14.0 Done. TimeForThis=366.8s, Completed=172/2039, ETA=2025-08-16 18:17:56
