MOF,Total time (s)
COTXOA_clean,1355.0
COTYIV_clean,2191.2
COVPAG_clean,1633.3
COWBEX_clean,804.3
COWDEZ_clean,5447.4
COWMAD_clean,632.3
COWMEH_clean,637.4
COWMIL_clean,640.1
COWMOR_clean,622.5
COWMUX_clean,638.9
COXDIE_clean,2249.7
COXHED_clean,125.0
COXHIH_clean,121.9
COXHON_clean,148.0
COXXIX_clean,179.6
COYCEZ_clean,1763.6
COYCID_clean,637.6
COZMUA_clean,724.1
CUBHOY_clean,1114.5
CUCSAU_clean,558.0
CUCTAX_clean,447.1
CUFDUD_clean,2111.9
CUFFAL_clean,1994.6
CUFFEP_clean,2404.9
CUFGIV_clean,1768.8
CUFGOB_clean,285.7
CUFGUH_clean,289.1
CUFQUR_clean,396.6
CUGLIB_clean,218.2
CUGVUW_clean,780.8
CUGXAF_clean,3380.8
CUGYIO_clean,266.3
CUGYOU_clean,218.2
CUGYUA_clean,301.2
CUGZAH_clean,271.6
CUHLUO_clean,11758.7
CUIMDZ01_clean_h,406.8
CUKXIR_clean,896.2
CUKXOW_clean,525.4
CUKXUC_clean,519.9
CUKYAJ_clean,523.4
CUKZOY_clean,2380.6
CUMDEU_clean,251.1
CUMDIY_clean,690.0
CUMDOE_clean,525.4
CUMDUK_clean,581.6
CUMJEB_clean,1173.6
CUMLUT_clean,1698.1
CUMQOQ_clean,660.1
CUNFOH01_clean,278.2
CUNFOH_clean,256.2
CUNQOT_clean,436.9
CUNQUZ_clean,371.0
CUNWEO_clean,1823.4
CUPHIG_clean,1196.0
CUPHUS_clean,581.6
CUQKOQ_clean,953.8
CUQRIR_clean,1352.6
CUQROX_clean,783.6
CUQRUD_clean,903.2
CUQSAK_clean,3832.3
CUQTAL_clean,752.3
CUQXUI_clean,827.5
CURBOH_clean,413.9
CURQEN_clean,1454.1
CURYOE01_clean,5134.8
CURZAR_clean,1899.0
CURZEV_clean,1395.3
CUSXIY_clean,965.9
CUSXOE_clean,2313.7
CUSYAR_clean,4646.6
CUSYIA_clean,1557.2
CUSZEX_clean,1309.0
CUSZIB_clean,754.6
CUTBEA_clean,527.6
CUTBIE_clean,509.4
CUTCAX_clean,1383.2
CUTFII_clean,1374.7
CUTGEF_clean,1409.9
CUVGIK_clean,1542.5
CUVGOQ_clean,1336.7
CUVHEH_clean,426.8
CUVHIL01_clean,667.3
CUVHIL02_clean_h,693.3
CUVHIL_clean_h,688.8
CUVTUJ_clean,691.8
CUVVOG_clean,2317.8
CUVXAT_clean,2391.7
CUWHUZ_clean,17475.4
CUWNIT_clean,1281.1
CUWNOZ_clean,1787.6
CUWTUL_clean,864.5
CUWVAT_clean,733.7
CUWVIB_clean,925.2
CUWWEY_clean,935.9
CUWXAV_clean,1032.2
CUWXID_clean,341.3
CUWXOJ_clean,2150.3
CUWXUP_clean,2105.7
CUWYAW_clean,755.8
CUWZAX_clean,782.2
CUWZIF_clean,998.3
CUXFIL_clean,2591.8
CUXFUX_clean,5319.3
CUXJAI_clean,519.3
CUXJEM_clean,801.4
CUXLEO_clean,1313.5
CUYWUP_clean,2811.0
CUYYAX_clean,3082.5
CUYYEB_clean,3326.6
DABFIX_clean,7990.3
DABMUR_clean,855.8
DACFAR_clean,3401.3
DACSEI_clean,4197.7
DACYUE_clean,981.0
DACZUF_clean,1334.7
DADLEC_clean,1047.4
DADLIG_clean,1453.8
DADLOM_clean,773.3
DADNII_clean,726.1
DADNOO_clean,778.2
DADNUU_clean,733.8
DADPAC_clean,701.1
DADPEG_clean,777.6
DADXUE_clean,2315.7
DAFJOM_clean,987.7
DAFSOV_clean,797.2
DAFYAN_clean,732.9
DAFYOB_clean,348.8
DAGDIZ_clean,954.2
DAGDUL_clean,2407.4
DAGJED_clean,990.5
DAHNOQ_clean,203.4
DAHNUW_clean,666.7
DAHPAE_clean,667.9
DAKVIW_clean,884.0
DAKVOC_clean,3866.5
DAKVUI_clean,3526.3
DAKZUN_clean,864.5
DALSUH_clean,869.7
DALTAO_clean,864.8
DALVAQ_clean,459.6
DALVEU_clean,4807.6
DALVIY_clean,2471.3
DAMDUT_clean,617.3
DAMYOI_clean,1082.6
DAMYUO_clean,1041.3
DAMZEZ_clean,1023.4
DANFUW_clean,3602.7
DANZOJ_neutral,677.3
DAPBED_clean,10155.2
DAPBIH_neutral,675.5
DAPHOU_clean,1538.8
DAPXID_ion_b,327.4
DAPYAW_clean,1705.1
DARBUU_clean,165.4
DARSEV_SL,848.6
DATHAJ_clean,1258.1
DATPIY_clean,324.6
DAWBIO_clean,1444.4
DAWBOU_clean,1452.6
DAWBUA_clean,1751.9
DAWCAH_clean,1692.3
DAWCIP_clean,2134.7
DAWCOV_clean,1240.3
DAWDAI_clean,1496.2
DAWWAB_clean,1397.1
DAWWEF_clean,1757.5
DAXHIV01_clean,1043.7
DAXHIV_clean,1035.3
DAXHUH01_clean,1064.6
DAXHUH_clean,1023.2
DAZCAK_clean,2171.6
DEBGIA_clean,648.1
DEBWAK_clean,1095.6
DEFKUU_clean,847.7
DEFRIR_clean,808.2
DEGJIK_clean,783.4
DEJCIF_clean,611.8
DEJJIN_clean,568.6
DEJRUH_clean,822.2
DEKHEH_clean,1820.3
DEKHUX_clean,854.6
DEKPUF_clean,1727.4
DELGEI_manual,338.5
DEPSEW_clean,1719.1
DEPTOH_clean,1423.3
DEPXAY_clean,1368.8
DEPXIG_clean,1453.1
DEPXOM_clean,1087.4
DEQFOU_clean,950.2
DEQVIF_clean,1688.0
DEWQUS_clean,2452.2
DEWRIH_clean,1154.4
DEYJIC_clean,1015.3
DEYJOI_clean,1084.7
DEYLOJ_clean,627.4
DEYLUQ_clean,885.4
DEYNIG_clean,222.0
DEZKAW_clean,361.2
DIBJEF_clean,5085.5
DIBJIJ_clean,3067.1
DIBPAH_clean,2555.6
DIBQEM_clean,2907.2
DIBQIQ_clean,2626.0
DIBQOW_clean,2478.8
DIBQUC_clean,2268.9
DICKEH_clean,455.0
DICVAO_clean,2842.6
DICVES_clean,2789.9
DICVIW_clean,2824.7
DIDBAV_clean,3637.8
DIDBEZ_clean,3696.7
DIDDOK_clean,489.6
DIHVIB01_clean,8223.1
DIHVIB_clean,8265.8
DIKJUD_clean,1177.9
DIMQIB_clean,2867.1
DINNIZ_clean,1737.6
DIPMAS_clean,699.2
DIRPIF_clean,803.4
DITJIB_clean,647.8
DITJOH_clean,621.5
DITPED_clean,5845.3
DITTEH_clean,1929.1
DITXOU_clean,808.0
DITYEM_clean,287.9
DITYOW_clean,1756.6
DIVGIA_clean,3607.8
DIVPUU_clean,497.5
DIVSUY_clean,2228.9
DIWMON_clean,2421.9
