MOF,HENRY_AR_313_CORE,time_below_50_313_0.01,time_below_50_313_0.05,time_below_50_313_0.1,time_below_50_313_0.5,time_below_50_313_1,5bar_AR_313_CORE,15bar_AR_313_CORE
ARADEE_clean,245.2,95.1,166.4,216.2,275.5,276.9,791.9,2180.0
ARAFEF_clean,207.5,65.9,101.0,134.1,215.1,213.9,357.9,1051.2
ARAFIJ_clean,213.9,65.5,105.3,147.1,215.4,220.8,368.6,1053.0
ARAFOP_clean,324.8,111.4,204.3,262.6,330.3,329.4,807.6,1759.8
ARAGOR_clean,278.1,108.9,194.0,251.9,313.2,317.7,859.9,2026.3
ARINOF_clean,333.3,120.0,197.7,262.6,383.7,379.2,636.8,1300.1
ARINUL_clean,355.7,107.9,173.5,243.5,358.4,345.5,551.2,1149.1
AROFAP_clean,220.6,81.2,137.8,179.5,247.0,248.9,442.8,913.0
AROFET_clean,200.0,65.0,96.0,124.5,211.0,222.5,279.4,760.9
ARUYES_clean,230.0,88.6,158.5,208.2,256.5,258.0,651.5,1372.5
ARUYUH01_clean,197.6,80.9,156.0,189.4,215.1,236.8,919.2,1812.7
ARUYUH_clean,197.8,78.7,149.1,186.4,214.1,221.7,796.2,1639.2
ASACON_clean,212.7,74.2,122.4,160.3,220.9,224.0,364.7,729.2
ASADAA_clean,223.9,76.3,114.2,149.1,240.5,250.3,317.2,727.9
ASAHEJ_clean,260.4,82.2,107.0,136.1,248.7,284.2,294.6,666.5
ASANAL_clean,311.6,107.1,166.1,224.9,334.4,331.6,480.8,1012.1
ASECUY_clean,419.3,143.8,218.7,287.1,440.6,447.6,707.8,1707.9
ASEJOZ01_clean,321.4,100.2,155.4,198.1,341.7,341.4,402.9,909.7
ASEJOZ_clean,201.4,62.9,87.3,109.0,195.9,215.1,226.9,399.9
ASEKAM_clean,240.8,93.3,166.8,219.7,280.0,280.6,687.6,1543.9
ASINAT_clean,310.7,106.6,170.9,221.4,337.7,343.6,581.0,1566.7
ASINEX_clean,2520.4,770.7,986.0,1198.6,1515.0,1570.3,2474.9,6834.8
ASINIB_clean,2723.6,807.7,1007.3,1170.4,1629.2,1582.7,2547.4,7070.1
ASIQEA_clean,249.7,74.7,116.2,148.1,245.6,250.3,345.6,979.2
ASIQIE_clean,249.4,73.5,112.9,146.3,242.3,260.1,341.2,977.4
ASIVAB_clean,251.2,77.2,93.6,112.2,190.4,203.4,238.9,601.0
ASIVEF_clean,315.3,96.9,121.6,147.2,241.2,246.3,291.3,945.1
ASOHUL_clean,146.3,42.4,63.6,83.7,142.9,148.8,187.2,499.0
ASOSUY_clean,220.5,81.7,139.7,183.0,248.6,247.0,551.7,1424.6
ASOVEL_clean,229.9,66.4,106.4,129.0,223.0,224.0,267.4,588.0
ASOYOY_clean,434.5,142.2,212.1,270.2,361.1,350.8,747.5,1968.1
ASUBIB_clean,189.6,68.2,117.2,156.5,215.0,216.2,417.7,899.2
ASUKEE01_clean,642.4,208.4,326.4,417.3,548.7,533.0,1124.9,2336.6
ASUKEE_clean,619.1,205.9,336.8,407.4,543.3,529.1,1143.9,2318.1
ASUWUI_clean,292.9,95.7,145.0,185.7,306.1,320.2,383.2,900.6
ATAFIK_clean,194.4,67.3,116.2,152.0,197.5,199.8,513.6,1350.8
ATAYAX_clean,226.9,82.2,138.9,183.8,253.4,252.4,576.9,1600.0
ATAYEB_clean,232.5,83.4,141.9,184.5,258.2,258.3,569.2,1630.6
ATEJOA_clean,367.3,291.7,415.1,420.2,716.8,1065.2,1971.2,2749.2
ATEYED_clean,179.9,59.1,79.4,99.3,180.4,194.6,219.0,573.7
ATEYOP_clean,663.5,199.0,302.2,346.8,479.1,439.5,970.8,2722.8
ATEYUV_clean,622.6,220.8,305.1,410.6,485.4,457.1,1056.9,2863.9
ATEZAC_clean,211.5,66.0,86.3,104.1,171.7,197.3,214.7,509.0
ATEZEG_clean,246.3,79.7,108.2,132.4,206.3,216.7,265.7,737.8
ATEZIK_clean,241.8,78.3,103.3,127.6,203.2,216.7,256.8,734.3
ATIBAG_clean,214.1,66.5,90.1,114.3,208.7,232.0,245.5,420.8
ATIBOU01_clean,213.1,68.6,92.2,118.1,213.1,237.2,248.9,430.6
ATIBOU02_clean,206.5,64.3,89.4,112.6,203.8,226.0,243.1,414.5
ATIBOU_clean,212.8,67.2,91.7,116.5,217.9,236.4,248.4,430.9
ATIBUA_clean,212.7,66.4,90.3,115.0,211.3,236.2,247.3,423.3
ATICAH_clean,212.7,67.9,90.8,114.1,209.3,235.0,245.4,413.7
ATICEL_clean,212.4,66.6,89.3,114.0,209.1,233.0,246.4,406.4
ATIJUJ_manual,241.8,74.4,93.5,115.8,215.2,257.8,285.9,503.8
ATIRUS_clean,392.4,133.7,161.9,195.4,372.4,426.2,464.9,698.2
ATIXAE_clean,160.5,50.9,72.9,95.3,165.4,176.5,199.4,479.3
ATIXUX_clean,366.6,159.2,297.8,362.2,371.2,434.0,1756.0,3561.6
ATOGEV_clean,127.1,45.2,74.9,102.1,145.0,148.0,233.3,497.1
ATOWIQ_clean,261.3,92.1,149.8,201.5,305.3,307.1,567.0,1594.4
ATOWOW_clean,198.0,64.9,94.9,128.6,215.5,229.2,282.3,779.1
ATULIM_clean,234.6,79.0,143.0,187.3,240.6,239.6,359.0,548.3
ATUXIY_clean,340.5,149.0,282.4,352.6,378.3,403.3,1572.0,3414.8
ATUZEW_clean,268.3,103.2,174.8,229.5,277.7,276.1,699.2,1725.0
AVAGIP_clean,284.6,79.8,105.1,125.2,227.5,248.0,270.5,424.9
AVAGOV_clean,289.5,81.9,108.1,131.7,229.0,249.3,277.5,441.2
AVAGUB_clean,394.0,117.2,189.0,260.0,383.6,402.2,545.6,1378.6
AVAJUE_clean,1862.2,613.9,803.9,992.8,1232.8,1210.6,2572.9,8222.2
AVAKAL_clean,157.2,48.6,56.8,62.5,102.4,120.6,137.4,201.1
AVAKEP_clean,232.3,70.9,81.9,92.0,147.6,172.5,195.4,302.4
AVAQIX01_clean,226.3,88.6,166.5,205.3,236.2,236.0,754.2,1429.3
AVAQIX_clean,247.0,100.8,192.0,235.7,257.7,266.2,840.1,1583.6
AVEHAM_clean,524.6,200.1,343.0,431.2,564.3,579.5,1135.8,2374.9
AVELOD_clean,463.2,157.2,252.8,338.8,461.1,489.5,1076.7,2941.3
AVELUJ_clean,446.8,162.5,274.7,344.6,469.3,464.6,1111.6,2937.6
AVEMAQ_clean,458.1,154.7,256.5,341.7,474.4,471.0,994.6,2813.1
AVEQID_clean,206.2,72.9,126.5,160.3,231.8,233.9,485.9,1416.5
AVESOL_clean,212.9,91.8,164.3,207.5,241.9,247.1,894.8,2159.5
AVESUR_clean,223.0,77.7,126.5,164.7,218.3,221.9,550.3,1434.9
AVETAY_clean,157.7,50.4,79.3,101.9,146.2,148.8,255.3,647.9
AVETEC_clean,162.7,54.2,85.9,112.4,152.0,152.9,298.5,683.8
AVEVEE_clean,192.5,65.5,107.0,138.4,213.5,214.2,309.5,677.4
AVIHIY_clean,134.2,41.4,65.5,88.4,140.1,144.5,206.9,500.4
AVIHOE_clean,125.3,37.7,60.2,80.1,124.1,128.3,189.8,459.2
AVILEY_clean,554.5,170.9,208.9,236.0,394.3,391.4,441.3,1008.3
AVIMIC_clean,356.2,117.0,176.7,242.4,383.2,394.5,433.1,753.2
AVIMOI_clean,384.8,175.3,324.2,403.6,440.5,461.8,1440.0,2650.6
AVIMUO_clean,305.2,105.5,176.0,235.2,336.6,347.0,513.5,1093.3
AVIPAX_clean,196.1,68.8,111.9,148.3,216.9,219.4,373.2,892.4
AVIPOL_clean,219.5,79.6,136.7,182.0,249.7,248.5,549.1,1384.8
AVITUU_clean,399.3,129.9,195.0,244.4,338.7,343.7,801.2,2088.2
AVIVAC_clean,401.1,125.2,194.7,251.4,331.5,326.7,732.9,2212.1
AVIVEG_clean,410.7,129.5,197.0,245.1,342.2,322.9,765.2,2231.7
AVIVIK_clean,406.6,127.7,209.2,260.6,345.4,340.6,810.5,2164.4
AVIVOQ_clean,408.5,126.8,212.7,262.6,354.0,362.9,811.8,2174.6
AVIVUW_clean,402.2,129.1,208.8,267.1,345.3,343.3,795.5,2189.3
AVUCEA_clean,279.2,92.4,134.1,171.4,248.1,253.8,394.9,1032.8
AVUDAX_clean,406.5,139.9,221.7,298.0,438.0,444.0,762.7,1969.3
AWAGEL_clean,358.3,117.5,180.6,242.6,390.2,397.8,561.3,1568.2
AWAGOV_clean,565.6,204.3,354.3,456.7,576.7,559.8,1354.2,3069.0
AWAHEM_clean,171.1,55.0,74.1,94.3,172.0,192.3,210.0,477.0
AWAKEQ_clean,279.3,88.2,117.8,150.0,272.4,307.9,325.0,450.6
AWAREV_clean,334.0,116.0,188.9,254.9,367.1,367.9,498.4,914.8
AWARIZ_clean,336.7,117.6,188.6,249.0,361.9,368.9,485.8,919.9
AWASAU_clean,174.1,55.0,77.5,96.5,172.2,190.5,199.7,366.6
AWASEY_clean,252.4,76.8,97.5,113.0,195.7,220.4,249.7,510.4
AWASOI_clean,326.1,105.6,156.5,203.5,318.6,318.2,415.1,909.6
AWAWUR_clean,357.2,130.5,219.4,296.5,381.3,392.5,888.6,2317.4
AWEGEP_clean,267.3,83.0,124.5,167.6,263.1,275.3,367.7,1042.1
AWEJIW_clean,248.3,89.4,148.7,198.4,283.2,287.0,490.4,1134.1
AWEVIJ_clean,1127.8,392.0,547.0,654.9,887.0,862.7,1450.8,3719.4
AWEWOP_clean,377.4,138.1,234.8,323.7,395.6,402.9,1071.7,2686.5
AWEZOS01_clean,1156.8,350.2,484.1,584.8,964.0,1030.9,1105.4,1406.7
AWEZOS_clean,1187.9,359.6,488.8,611.6,1020.2,1065.5,1134.8,1546.0
AWIBAK_clean,1194.3,365.2,485.5,591.2,1031.2,1069.7,1141.9,1459.1
AWIBAL_clean,250.7,98.7,174.7,226.4,300.1,297.2,635.2,1228.2
AWIBEO_clean,1247.8,347.0,450.8,525.9,895.3,1074.3,1134.4,1414.5
AWIBIS_clean,1176.2,342.0,465.6,561.0,919.8,1038.2,1078.9,1417.3
AWOFOI_clean,199.3,74.3,131.7,173.7,228.4,233.0,583.3,1495.6
AWUPAL_clean,165.4,50.8,68.1,85.9,147.3,156.7,184.7,579.1
AWUPOZ_clean,166.3,50.2,68.5,89.4,151.1,160.4,191.3,584.5
AXAFAG_clean,217.3,73.0,119.2,150.6,240.3,243.4,374.7,1066.2
AXIGAR_clean,182.6,59.3,87.3,112.4,196.1,209.3,250.4,718.8
AXIMUP_clean,265.5,87.7,136.5,177.9,307.8,293.6,449.2,1277.6
