MOF,Total time (s)
OCUMUX_clean,228.7
OCUPOS_clean,140.0
OCUTAI_clean,137.7
ODIXIK_clean,398.1
OFAMUF_clean,82.2
OFODAP_clean,76.8
OFORUX_clean,132.7
OGIJIY_clean,259.7
OGOJAX_clean,102.4
OHAQAR_clean,1495.9
OHOLIH_clean,171.6
OJIFAP_clean,240.5
OJIWEK_clean,249.0
OJOSEN_clean,136.4
OJOSIR_clean,251.8
OJUPEQ_clean,539.1
OKIZIT_clean,339.7
OKUJOV_clean,1071.2
OKUJUB_clean,2541.4
OKUKEM_clean,1456.8
OLODEA_clean,390.4
OLOGAY_clean,255.9
OLOPIQ_clean,526.3
OLOPOW_clean,636.9
OMOWEU_clean,313.7
OMUHUB_clean,680.9
OMUMEQ_clean,721.9
OMUMIU_clean,606.0
ONEYIQ_clean,2731.5
ONUJUE_clean,221.3
OPAHIY_clean,329.8
OQUFAJ01_clean,147.1
OQUFAJ03_clean,147.1
OQUFIR_clean,233.1
OQUFUD_clean,248.0
OQUGAK_clean,606.0
ORAWAH_clean,693.7
OREZUI_clean,638.7
OSOTIB_clean,126.2
OTOYUT_clean,199.5
OTOZAA_clean,138.1
OTOZEE_clean,213.7
OVADAR_clean,212.1
OVEDAW_clean,173.7
OVIWOG_clean,79.7
OVUNIE_clean,194.5
OVUVIL_clean,137.2
OXAMEG_clean,126.0
OXANOR_clean,184.7
OXANUX_clean,189.3
OXAPAF_clean,191.4
OYAJIJ02_clean,329.0
OYAKAC02_clean,298.8
OYOVOP_clean,192.8
OZASOZ_clean,377.7
PACHUZ_clean,173.7
PALTIH_clean,230.5
PAQMAY_clean,258.2
PAQTIM_clean,209.8
PAQTOS_clean,208.4
PARSAF_clean,386.7
PARSEJ_clean,376.2
PEJMUO_clean,206.2
PEKDEQ_clean,181.4
PEKVUY_clean,140.4
PEMGEV_clean,532.3
PENNIH_clean,263.5
PEQFAT_clean,242.3
PEQTUB_clean,91.2
PETWES_clean,150.5
PETWIW_clean,145.7
PETWUI_clean,695.5
PETXAP_clean,617.2
PIBPAS_clean,144.7
PIDNEX_clean,119.1
PIDNOH_clean,877.7
PILJAX_clean,131.5
PITRIU_clean,309.0
PIVBEC_clean,147.6
POBGAQ01_clean,147.5
POBGAQ_clean,93.6
POBJIB_clean,249.6
POCRAB_clean,137.7
PUBROU_clean,242.3
PUBRUA_clean,584.7
PUBSAH_clean,132.2
PUBSEL_clean,192.0
PUBSIP_clean,142.7
PUBSOV_clean,339.9
PUCKUV_clean,222.1
PUMGIP_clean,354.9
PUPJER_clean,191.2
PUSSEC_clean,167.5
PUWCEP_charged,518.1
PUWCIT_clean,123.3
PUWZOX_clean,543.4
QAHDOU_clean,61.6
QAHDUA_clean,59.1
QAMHAQ_clean,158.6
QAMLEY_clean,56.9
QAPPON_clean,144.0
