GAS,TEMP,LOW,HIGH,INPUT,SAMPLING,MODEL,R2_MEAN,R2_STD,MAE_MEAN,MAE_STD
He,273,0.05,15,struct+input,qt_then_rd,gbm,0.9949641806298068,0.0003123159519380376,0.0089738365064693,0.00015830628212204145
Ar,273,0.5,5,struct+input,qt_then_rd,rf,0.9540096072347775,0.005444825298954881,0.1008255015717654,0.002169895452370097
He,293,0.01,5,struct+input,qt_then_rd,cat,0.9880149208202539,0.0010081538910793463,0.00455411320029406,7.977324997148966e-05
Ar,293,0.5,15,struct+input,qt_then_rd,gbm,0.9646713485146389,0.002560955798204135,0.17505162262565332,0.004939726934330003
Ar,313,0.5,5,struct+input,qt_then_rd,cat,0.9722297398661925,0.003384838647609516,0.03998229519678318,0.0010971326591492105
He,293,0.01,1,struct+input,qt_then_rd,gbm,0.9883917752365209,0.0002756192550640014,0.0009151634976079599,1.309141547438027e-05
Ar,273,0.5,1,struct+input,qt_then_rd,rf,0.9949418897109208,0.0007241104406087409,0.01056920741921198,0.00027725880055850936
Ar,273,0.05,1,struct+input,qt_then_rd,cat,0.9818435432275034,0.0007721684210225613,0.01791723848757164,0.0005141865972360779
He,313,0.05,15,struct+input,qt_then_rd,cat,0.9938715238340057,0.0005577900164732081,0.00838561584141974,0.0001603859598916788
Ar,293,0.01,15,struct+input,qt_then_rd,cat,0.961171842008725,0.0020059751223880555,0.18345433155916907,0.003003244631148153
He,313,0.01,5,struct+input,qt_then_rd,gbm,0.9886997101781665,0.0006361044953763289,0.00411416673901782,7.665828691555674e-05
He,293,Henry,5,struct+input,qt_then_rd,rf,0.9735994957536743,0.0006858852323607488,0.005889260127795501,4.608062231645813e-05
Ar,293,0.5,5,struct+input,qt_then_rd,gbm,0.9722450208772736,0.00245712234798296,0.06361980307642975,0.0014765582603257442
Ar,273,0.01,1,struct+input,qt_then_rd,rf,0.9771458677188093,0.0012480972433286735,0.01930216884555342,0.0005196292819866825
Ar,293,0.1,15,struct+input,qt_then_rd,cat,0.9640682084232914,0.0020439620324933425,0.17581968437860138,0.0037130678289733544
He,313,0.05,1,struct+input,qt_then_rd,cat,0.9934064802934388,0.0012714881196620653,0.00057822312988136,1.5539512516938897e-05
He,293,0.5,1,struct+input,qt_then_rd,rf,0.9991140973482127,3.668152778780929e-05,0.00024080894309956,2.5530919677918275e-06
Ar,313,0.05,5,struct+input,qt_then_rd,gbm,0.9667683189551319,0.002923432803821319,0.04433136308342172,0.00189305103745
Ar,313,0.05,1,struct+input,qt_then_rd,gbm,0.9954101566054817,0.0005986070394836548,0.00475727109518604,0.00016795001573798835
He,293,0.1,5,struct+input,qt_then_rd,rf,0.9975351999296391,3.922247293472326e-05,0.00199509486550034,5.763815209808897e-06
Ar,293,0.01,1,struct+input,qt_then_rd,gbm,0.9861516291948919,0.0014996949422334343,0.01201857091664158,9.929081797979413e-05
Ar,293,0.05,15,struct+input,qt_then_rd,cat,0.9623746433438642,0.0024298130629923386,0.1784326925005653,0.0035028303103259557
He,293,0.05,15,struct+input,qt_then_rd,gbm,0.9958591314071464,0.00025162446815410315,0.0076944761574685005,0.0001366845764806673
