name,N2_293_0.01,N2_293_5
BUGSEC_clean,0.0021406034,0.825400429
BUGSIG_clean,0.0016054995,0.6328170453
BUGSOM_clean,0.0021241942,0.7557908789
BUKMUQ01_clean,0.0041634371,1.841362902
BUKRUW01_clean,0.0023242874,1.0530119146
BUKRUW02_clean,0.0022230433,1.0285181845
BUKRUW03_clean,0.0019365191,0.9393222285
BULBER_clean,0.0026487419,1.0164208311
BUNKUS_clean,0.0038453994,1.6652636468
BUNLAZ_clean,0.0034634468,1.7151366618
BUPDOH_clean,0.0111393294,2.6641153113
BUPVEP_clean,0.0014759136,0.5921136678
BUQWER_clean,0.0073427349,1.8133185338
BURJOO_clean,0.0024054623,0.7630456127
BURQIQ_clean,0.0052179007,1.7932419539
BUSNAF_clean,0.0014321725,0.509266249
BUSQEM_clean,0.009727872,2.2043438768
BUSQIQ_clean,0.0094396587,1.7864904092
BUSRUE_clean,0.0045835111,1.6115829706
BUVHEH_clean,0.0067756624,2.2110250126
BUVWOF02_clean,0.001202064,0.5036204155
BUVWOF03_clean,0.0014262365,0.5552036764
BUVXOG_clean,0.0012895121,0.4896856339
BUVYEX_clean,0.0013658557,0.57008026
BUVYIB01_clean,0.0049137491,2.0290230281
BUVYIB_clean,0.0052163472,2.0490666825
BUWLUC_clean,0.0014244561,0.5949485242
BUWMAJ_clean,0.0027152394,1.2086721687
BUWMEN_clean,0.0022878862,0.9772601957
BUWMIR_clean,0.0093307319,2.6598268313
BUXNOZ_clean,0.0035919804,1.4602720508
BUXTOF_clean,0.0052156774,1.7981719577
BUXTUL_clean,0.0023388254,0.8839235054
BUXZAX_clean,0.0025515204,1.1293547502
CABJOH_clean,0.0083253089,2.6033312412
CACBUG_clean,0.0007507957,0.3463714331
CACNOM_clean,0.0072291323,2.0236014716
CADPII_clean,0.0021071438,0.4042445113
CADQAB_clean,0.0060355191,2.120063323
CADQOP_clean,0.0059183564,2.0474449961
CAGSAG_clean,0.0040872802,1.5601523617
CAGXIU_clean,0.0077374554,1.445103888
CAJQEL_clean,0.0048118512,1.6349960795
CAJQIP_clean,0.003925724,1.5963814345
CAJWIV_ion_b,0.004168957,1.4222255952
CAMROA_clean,0.0072603697,1.963320816
CANRIU_clean,0.0044001228,1.7044760848
CANROA_clean,0.0034029524,1.3885878291
CANRUG_clean,0.0049044711,1.8859514051
CANYIB_clean,0.0027494613,1.1297552411
CAPLOX_clean,0.0063370369,2.1493654554
CAQCAZ_clean,0.0086891705,1.9933430054
CARGEI_clean,6.46931e-05,0.0342659876
CASTEW_clean,0.0091656313,2.0300649394
CASWIE_clean,0.0061166892,1.9250006718
CAVMIX_clean,0.0052766684,1.7284420396
CAVMOD_clean,0.0031251564,1.1122215129
CAVNOE_clean,0.0048050913,1.0824544931
CAVPEW_manual,0.002787639,1.3799775978
CAVPIA_manual,0.0028241905,1.3588962641
CAVPUM_manual,0.0029717573,1.4120205936
CAVRAU_clean,0.0061167523,1.7997963683
CAVREY_clean,0.0063020848,1.8317389167
