,MOF,15bar time (s),1bar time (s),5bar time (s)
317,BUSQUC_clean,1180.6,460.7,822.0
318,UMOYOM14_clean,1057.2,191.4,397.1
319,PAPVAF_clean,2494.5,327.2,873.6
320,CESFOW_clean,1397.8,227.1,531.9
321,RAYFEE_clean,1194.0,246.3,467.2
322,IBICON_clean,553.4,274.5,288.2
323,XEJTIR_clean,1135.3,321.5,697.3
324,UBUMAH_clean,900.3,170.8,339.9
325,BOZFIH_clean,5993.7,735.1,2853.4
326,FALSAO_clean,3072.6,477.4,1600.8
327,TOFTIT_clean,890.9,218.5,311.1
328,SOZRUW_clean,4438.4,424.5,1844.3
329,WOWMAY_clean,366.1,174.3,322.8
330,TIFBOA_clean,298.0,181.0,190.9
331,c4dt02169j_c4dt02169j2_clean,2311.9,331.3,1095.8
332,QUXROS_clean,2105.9,1051.2,1829.8
333,c6ce00134c_c6ce00134c2_clean,1636.6,470.4,985.9
334,c5ce00181a_c5ce00181a2_clean,5781.7,983.0,3436.7
335,UMUBEL_clean,936.2,200.6,316.0
336,KEFWID_clean,778.9,256.4,433.6
337,ic402614w_si_002_clean,4822.8,909.7,2912.9
338,PURSAY_clean,1935.6,329.8,678.1
339,VILXOE_clean,771.9,203.0,432.8
340,KAXFUM_clean,437.1,249.9,268.9
341,WEWTOI_clean,263.7,205.7,245.8
342,UJEDIX_clean,2720.8,558.0,1190.3
343,SETXIA_clean,4832.2,691.8,2569.5
344,NAZZEV_clean,2060.4,311.1,799.1
345,CUGFAN01_clean,334.5,198.8,315.7
346,EWETUW_clean,2556.2,512.8,1593.0
347,BASTEW_clean,1006.2,552.8,567.8
348,XANZAQ04_clean,1034.4,219.7,373.9
349,UHISOU_clean,1202.9,231.8,691.1
350,RUBTAK01_SL,1409.6,285.5,628.3
351,KEFFEI01_clean,832.3,256.8,343.7
352,IJEVEA_clean,1291.3,268.9,756.5
353,LETDEU_clean,155.5,110.1,151.7
354,CAHQAG_clean,859.4,312.6,460.9
355,WULKAQ_clean,11401.2,1033.2,4327.7
356,JEMNAR_clean,1118.4,304.9,653.1
357,ZARQAM_clean,1278.1,304.1,434.2
358,NAMDUD_clean,15615.1,1302.1,6213.3
359,SEHMAU_clean,1071.0,428.5,484.0
360,c6ce00407e_c6ce00407e10_clean,126.3,70.9,83.8
361,CAKFEB01_clean,849.3,578.4,631.8
362,HOMZEP_clean,2216.1,287.6,1100.1
363,c6cc02494g_c6cc02494g6_clean,2420.3,331.9,831.9
364,EWUFAF_clean,376.6,319.3,373.6
365,MUVJAP_clean,1805.1,301.0,1021.4
366,MAGVOG08_clean,414.0,157.0,273.4
367,DIYTEM_clean,2840.6,411.9,1326.6
368,cg200332y_si_002_clean,2324.9,243.8,1089.5
369,PAVMAB_clean,1892.5,450.2,1273.3
370,YUKCAJ_clean,1611.8,375.8,822.0
371,TADWIG_manual,5330.3,631.2,2443.7
372,GUKXIU_clean,1358.4,372.1,827.3
373,EBELUU_clean,2204.8,294.4,1061.7
374,JIZWIA_clean,790.1,221.8,347.2
375,RAVCOI_clean,1795.3,755.5,1537.6
376,VATYOF_clean,983.2,215.4,364.1
377,VIWLOE_clean,1667.5,342.8,693.3
378,j.jlumin.2016.09.057_mmc2_clean,1460.6,227.0,627.4
379,FUVDEH02_clean,5589.1,928.4,3113.9
380,TEQVAO_manual,2047.8,394.7,1044.3
381,j.catcom.2016.08.039_1_clean,423.7,241.0,415.0
382,HUCFAO_clean,2878.5,481.6,1555.9
383,JAVWUY_clean,843.3,220.7,393.8
384,acs.inorgchem.6b01416_ic6b01416_si_004_clean,1049.6,233.3,578.8
385,ITIPOS_clean,763.8,259.1,293.3
386,IMAXOL_clean,2977.1,350.5,1297.3
387,XACSIG_clean,1248.8,371.7,654.8
388,YICQUY_clean,1924.5,232.6,666.2
389,WOHZAU_clean,1848.2,391.1,1079.1
390,DEYLUQ_clean,1179.0,293.4,537.5
391,ETUWEW_clean,904.2,192.2,343.4
392,GOYPAN_clean,776.4,249.4,304.8
393,GIKMOD11_clean,1038.4,276.6,653.5
394,WAGQAY_clean,456.8,153.8,170.6
395,ZOXTEN_clean,1576.0,412.0,910.5
396,LATYOX_clean,1198.8,308.2,440.6
397,WAGZEL_clean,1135.7,349.7,592.5
398,cm503767r_cm503767r_si_002_clean,556.8,254.9,273.4
399,CUSZEX_clean,1925.0,253.4,744.7
400,RASGAT_clean,592.2,157.1,198.3
401,ILIGEP_clean,1247.9,325.9,831.4
402,ECODEG_clean,1968.3,396.8,1234.2
403,EBEGID_clean,424.0,276.8,288.6
404,BEPVEZ_clean,831.6,350.2,405.7
405,IXOFOR_clean,1335.4,219.0,551.4
406,KUNWEW_clean,712.0,310.9,360.2
407,EZULAO_clean,676.2,206.2,361.0
408,PEFRUP01_clean,3932.3,529.9,1915.7
409,acs.cgd.6b00151_AKEDAX1449787_clean,952.5,283.3,442.4
410,acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,661.3,204.4,232.3
411,IKETIC_clean,898.3,215.4,427.1
412,MAGVOG03_clean,265.2,108.7,204.8
413,EBOBIJ_clean,3893.0,505.9,1978.5
414,HUZFEO_clean,3892.9,635.0,2158.9
415,OQUFOX_clean,713.6,173.5,286.7
416,UZOBAN_clean,2524.5,303.0,994.8
417,OCUTEM_clean,1135.5,253.5,619.9
418,ONEYIQ_clean,3877.2,585.6,1354.9
419,XAMDOF_clean,3463.7,545.7,1973.1
420,EQOCES01_clean,670.0,229.5,351.0
421,UGAPOI_clean,986.0,243.1,602.9
422,CAVSUP_clean,689.7,215.4,285.7
423,SUNJER_clean,973.1,192.7,494.9
424,OFEZIJ_clean,492.6,156.3,177.1
425,JUPBUT_clean,387.2,168.7,191.8
426,XULGUI_clean,1357.8,370.4,910.5
427,QIWGOU_clean,2555.0,677.3,1262.5
428,ic501898x_si_005_clean,2491.9,460.6,1385.0
429,AZEBUE_clean,1090.3,233.0,653.7
430,SUJRIZ_clean,1865.7,508.8,1322.9
431,LIRFIB_clean,139.0,84.4,99.1
432,WAQFAX_clean,2037.5,271.6,716.6
433,RUYQOT_clean,4523.9,549.6,1659.6
434,XISPEW02_clean,465.7,146.9,188.5
435,BASTUM_clean,1019.8,545.6,599.0
436,BEFNOR_clean,767.6,187.2,456.5
437,EPISOM_clean,974.7,170.7,365.5
438,YUKWOS_clean,450.5,239.0,260.2
439,ARAHIM01_clean,170.7,67.5,107.2
440,ETEMEX_clean,525.4,283.5,295.2
441,SUXNIJ_clean,4852.2,522.1,1977.9
442,TAZLAJ_clean,2406.3,273.9,882.1
443,DACSEI_clean,4209.6,728.9,2271.7
444,NIKYOW_clean,738.7,257.5,437.9
445,HOWJEK_clean,733.0,183.4,366.1
446,CUQRUD_clean,1215.0,207.8,564.1
447,FIQYUA_clean,598.8,253.3,310.3
448,LUSJIT_clean,1979.6,375.8,1042.2
449,FAGQAI_clean,969.8,235.0,317.0
450,NILGIA_clean,891.9,221.1,303.1
451,SITFUY_clean,6495.3,1044.3,3192.8
452,XANZAQ07_clean,1045.4,222.5,382.3
453,XALCOD_clean,1841.6,409.6,885.1
454,ic402058f_si_003_clean,1978.9,379.7,1163.4
455,HEXVEM_clean,105.7,68.6,83.2
456,ZETMES_clean,929.2,285.8,488.5
457,TATFOL_clean,1825.6,381.9,635.0
458,YEKXET_clean,1199.0,207.7,476.5
459,MIHLAR_clean,903.9,364.4,436.7
460,DAFJOM_clean,1335.0,208.4,630.8
461,DUNXUH15_clean,2862.7,366.9,1479.1
462,VITZIJ_clean,2013.8,317.7,934.7
463,SODXUG_clean,3461.9,734.5,2272.1
464,LONVIV_clean,2894.8,335.8,1005.9
465,c6ce00407e_c6ce00407e9_clean,224.0,112.2,122.4
466,ic100188w_si_002_clean,1242.4,364.3,704.4
467,FIJDIM08_clean,2146.8,352.7,1093.8
468,JORBAV_clean,744.3,264.0,291.3
469,XIGWUF_clean,240.5,126.7,140.9
470,WEDWUZ_clean,368.0,268.0,277.9
471,IYOCIK_clean,464.3,173.2,192.0
472,PELGOE_clean,1052.1,274.8,545.2
473,NANPUN_clean,226.0,97.9,104.3
474,KOSJAF_clean,969.0,216.8,340.1
475,HAWVAE_clean,1443.4,261.2,811.1
476,LEZXAR_clean,906.4,288.6,338.8
477,GOTDIE_clean,3499.3,1311.0,1843.8
478,BIZMAA_clean,6034.8,585.4,2296.8
479,IMACND_clean,261.5,134.6,144.0
480,REFJET_clean,1284.2,268.4,653.2
481,IYOVOI_clean,1534.8,283.8,914.7
482,WUNTOP_clean,1748.5,307.0,949.2
483,GEDSAL_clean,2523.4,314.8,1172.6
484,AQOMAW_clean,1919.8,285.0,797.8
485,KUKPOX_clean,3470.4,474.3,1666.7
486,NORPIV_clean,10084.3,2033.1,6429.8
487,YIWBIR_clean,5477.7,872.5,3170.0
488,ZOXGOK_clean,1536.7,351.9,610.4
489,EXOFIH_clean,2903.3,538.1,1803.8
490,UDAXEF_clean,612.1,193.0,238.4
491,DAFYAN_clean,1041.6,201.0,365.6
492,POLBAT_clean,2873.5,2064.4,2487.2
493,KUGZIW_clean,1306.3,281.0,479.9
494,KAVKIC_clean,417.4,225.1,249.9
495,RENWEM_clean,281.7,205.4,261.2
496,GAFGEC_clean,2244.1,296.9,940.9
497,TUQWIL_clean,556.9,121.0,295.3
498,MITGUR_clean,575.6,245.9,268.9
499,DEYJOI_clean,1484.2,289.5,702.4
500,ZEVYAC_clean,7683.2,1825.2,4911.3
501,IJEYON_clean,1523.4,360.6,628.9
502,XOTHAP_clean,592.3,170.5,225.6
503,OGOJAX_clean,528.1,151.4,192.3
504,ATAFIK_clean,1878.5,219.1,782.3
505,UNOTOH_clean,1140.8,435.9,455.7
506,YUXLIN_clean,7786.2,820.0,2921.9
507,FINQOK_clean,1580.7,371.2,549.7
508,BERFIP_clean,921.2,344.8,641.9
509,VAFWAB_clean,1216.0,219.3,677.8
510,ACAKUM_clean,979.0,340.1,509.4
511,ICODIP_clean,1257.4,287.6,451.2
512,JETNOL_clean,262.6,152.7,163.1
513,SEJBAL_clean,1062.5,310.3,444.5
514,XADGOA_clean,842.9,197.8,426.1
515,acs.inorgchem.6b02413_ic6b02413_si_002_clean,10580.3,837.7,3585.1
516,DOZCEC_clean,659.2,164.0,215.0
517,DEZCER_clean,1959.9,373.0,1044.3
518,GASSUR_clean,981.0,194.6,421.1
519,YARYOF_clean,302.8,176.0,194.1
520,jacs.6b01663_ja6b01663_si_002_clean,116.9,75.7,88.8
521,KAVTUY_clean,1035.7,380.1,524.7
522,ROQDIM03_clean,1055.4,260.6,397.1
523,BAKJOO_clean,2462.0,359.3,984.3
524,JUXFAL_clean,1009.2,247.5,485.5
525,LUSHOX01_clean,1549.6,303.8,804.4
526,VOBGAW_clean,1540.1,483.3,779.3
527,c6dt00658b_c6dt00658b2_clean,1663.0,644.3,1187.3
528,BALPIP_clean,4535.3,829.6,1810.6
529,LECFEG_clean,2620.1,320.4,1040.3
530,RAVXAP_clean,1047.0,284.2,359.5
531,NEKBEL_clean,343.7,214.9,234.4
532,OLEKUL_clean,2083.8,434.1,1173.0
533,HASTAY_clean,5019.1,635.8,2543.3
534,FEYJID_clean,561.3,156.2,218.8
535,MEJZIM_clean,724.5,349.1,379.9
