name,O2_293_0.01,O2_293_5
BUCSEY_clean,0.0038760386,1.2088803721
BUCSIC01_clean,0.0134377158,2.0249234536
BUCWAZ_clean,0.0031790708,1.3544113395
BUGSAY_clean,0.0011197807,0.4873641146
BUGSEC_clean,0.0011804112,0.4982557647
BUGSIG_clean,0.0011178693,0.4800645817
BUGSOM_clean,0.0011706426,0.4892260264
BUKMUQ01_clean,0.0037085319,1.7699548343
BUKRUW01_clean,0.002178434,1.0456242401
BUKRUW02_clean,0.002064154,1.0140550451
BUKRUW03_clean,0.0019088983,0.9339898959
BUKYAJ_clean,0.0070935814,2.1114485357
BULBER_clean,0.0017707832,0.7671006731
BUNKUS_clean,0.0030794844,1.4166482917
BUNLAZ_clean,0.0035470347,1.5715108294
BUPDOH_clean,0.0101579845,2.8208053189
BUPVEP_clean,0.0014854356,0.626493884
BUQWER_clean,0.0066432119,1.7915159818
BURJOO_clean,0.0026389399,0.8361155448
BUSNAF_clean,0.0013572535,0.5411695463
BUSQEM_clean,0.011842042,2.8602163359
BUSRUE_clean,0.0046410071,1.7434824401
BUVHEH_clean,0.0035595149,1.4639565513
BUVVIZ_clean,0.0011382032,0.4266307448
BUVVOF_clean,0.0008190145,0.2995170582
BUVWOF03_clean,0.0015136846,0.6515048301
BUVYEX_clean,0.0015116025,0.6646199596
BUVYIB01_clean,0.0050941975,2.1576244476
BUVYIB_clean,0.0054217808,2.206623132
BUWLUC_clean,0.0015111267,0.6810389005
BUWMAJ_clean,0.0017633903,0.8118947567
BUWMEN_clean,0.001870243,0.8557576306
BUWMIR_clean,0.0019453245,0.8976426878
BUXNOZ_clean,0.0035035624,1.4855780133
BUXTOF_clean,0.006061865,1.9987165659
BUXTUL_clean,0.0027851661,1.1194567632
BUXZAX_clean,0.0024276055,1.1483447083
CABJOH_clean,0.0085374362,2.8426301502
CACBUG_clean,0.0013993792,0.5821491684
CACNOM_clean,0.006345091,2.0856425121
CADPII_clean,0.001725147,0.3904724611
CADQAB_clean,0.0036434445,1.5405811357
CADQOP_clean,0.0032858338,1.3842228005
CADZIT_clean,0.0020070084,0.8588708161
CAGSAG_clean,0.0041144494,1.6927351035
CAGXIU_clean,0.0048120264,1.2949502661
CAJQEL_clean,0.0051695464,1.7398518537
CAJQIP_clean,0.0041028553,1.7108000164
CAJWIV_ion_b,0.005195715,1.7711195533
CAMROA_clean,0.0055273859,1.8805084063
CANRIU_clean,0.004220448,1.6486354293
CANROA_clean,0.003647267,1.4081207761
CANRUG_clean,0.0043705019,1.8517883441
CANYIB_clean,0.0028092587,1.1864566264
CAPLOX_clean,0.0043617231,1.6923464963
CAQCAZ_clean,0.0079109117,2.1766283022
CARGEI_clean,7.14065e-05,0.0378521831
CASTEW_clean,0.0081687471,2.2009907734
CASWIE_clean,0.0062608595,1.9861025111
CAVMIX_clean,0.0051198925,1.8203983287
CAVMOD_clean,0.0032665274,1.1477399109
CAVNOE_clean,0.0042264744,1.1459686188
CAVPEW_manual,0.0029375645,1.4366226173
CAVRAU_clean,0.0059194825,1.8341768785
CAVREY_clean,0.0057118473,1.8573429681
CAVSUP_clean,0.0016517003,0.6650961727
CAVVUS_clean,0.0037336513,1.5466749147
CAWDOU02_clean,0.0040833862,1.635128628
CAWVIH_SL,0.0038366526,1.2806590861
CAXSUR_SL,0.0020048751,0.9869535645
CAXTAY_clean,0.0015524993,0.707724577
CAXTEC_clean,0.0016999764,0.8009571844
CAXVII_clean,0.0026180045,1.2018293871
CAXVOO_clean,0.0026507068,1.1670831443
CAXVUU_clean,0.002657974,1.1717232439
CAXWAB_clean,0.002568951,1.2069091515
CAXWEF_clean,0.0026089205,1.2070690296
CAXWIJ_clean,0.0027760658,1.2206350529
CAXXEG_clean,0.0028820111,1.156571617
CAXZUY_clean,0.0047140498,1.9612524463
CAYCAI_clean,0.0004760114,0.2142660845
CAYDEN_clean,0.0010963823,0.4357480616
CAYDIR_clean,0.0011730524,0.435466938
CAYDUD_clean,0.0011053271,0.4321305112
CAYKEU_clean,0.0027339214,1.0411255074
CAYMIZ_clean,0.0036151563,1.1653724221
CAYQAV_clean,0.0018118041,0.8005845191
CAYQIE_clean,0.0044694816,1.8962728989
CAYQOK_clean,0.0045120788,1.905245392
CAYQUQ_clean,0.0042381006,1.7910600464
CAYSIE_clean,0.0008202503,0.365068413
CAYSOK_clean,0.0008582175,0.4074547874
CAYYEG_clean,0.0007119069,0.3640015808
CAZGIT_clean,0.0027687505,0.8008046832
CAZNEY_clean,0.003952099,1.7237746649
CEBDOD_clean,0.0014453546,0.5447626839
CECVAI_clean,0.0025070957,1.1825415237
CEDFIC_clean,0.004165888,1.493001176
CEDFOI_clean,0.00476168,1.6590295225
CEDFUO_clean,0.0049961553,1.6348892751
CEGDUO_clean,0.0011227141,0.4330001524
CEGFAW_clean,0.0010703453,0.4158847339
CEGWER_clean,0.0046625955,1.2306548235
