name,He_273_0.01,He_273_0.05,He_273_0.1,He_273_0.5,He_273_1,He_273_5,He_273_15,He_313_0.01,He_313_0.05,He_313_0.1,He_313_0.5,He_313_1,He_313_5,He_313_15
AFOQUI_clean,6.02967e-05,0.0003371132,0.0006934117,0.0035451701,0.0071054148,0.0356901492,0.1044215052,5.0704e-05,0.0002699646,0.0005138921,0.0026763499,0.0052677367,0.0269964652,0.0795724238
AFOTOF_clean,0.0002826408,0.0013156014,0.0024461646,0.0126334339,0.0248540921,0.12425826,0.3693505558,0.0001748713,0.0009902596,0.0021533571,0.0100388327,0.020274904,0.0997274765,0.2954369301
AFOTUL_clean,0.0003141215,0.0012034524,0.0025374489,0.0128137089,0.0254927963,0.1270519521,0.380431745,0.0002100942,0.0010749482,0.0020315909,0.0101844713,0.0204138187,0.1014938838,0.2983073279
AFOVAT_clean,0.0002483027,0.0013041109,0.0025790097,0.0127093431,0.0261302112,0.1276672502,0.3734786103,0.0001940517,0.0010203364,0.0019279977,0.0101950181,0.0202669282,0.1012908228,0.2990733399
AFOVEX_clean,0.0002601914,0.001336343,0.0026560337,0.013634029,0.0264937305,0.1300977884,0.3889341252,0.0002518653,0.0011136193,0.0021189989,0.010472184,0.0214147941,0.1066639089,0.3117884118
AFOVIB_clean,0.0002676775,0.001310211,0.0025278419,0.0123473805,0.0247189141,0.1226164407,0.3625199226,0.000213337,0.0009962434,0.002012613,0.0098416781,0.019965122,0.0977848202,0.2922213596
AFOVOH_clean,0.000251873,0.0012366549,0.0025724074,0.0130581677,0.0254639451,0.1284737994,0.374671377,0.0001878725,0.0009992337,0.0021244039,0.0101100154,0.0210004257,0.1017174569,0.3013763405
AFOYAW_clean,0.000233325,0.0011405476,0.0024485403,0.0117884039,0.0238993462,0.1199139709,0.3529878391,0.0001880325,0.0009511426,0.0018432677,0.0093288836,0.0188114879,0.0934864793,0.2789249827
AFOYEB_clean,4.03955e-05,0.0003219756,0.0005417744,0.0029322351,0.0057337799,0.0287389976,0.0862062999,3.56431e-05,0.0002293037,0.0004467263,0.0023263036,0.0046003307,0.0225596795,0.0677835914
AFOYIE_clean,0.0003853028,0.0018953498,0.0038218638,0.0188571724,0.0382951329,0.1921669431,0.569075251,0.000260646,0.0016715342,0.0031815813,0.0155990976,0.0316203284,0.1574755247,0.4663212245
AFOYOK_clean,0.0002323721,0.0011998849,0.002401178,0.0120171568,0.0241850036,0.1204518239,0.3548251124,0.0001704062,0.0009407548,0.001901226,0.0097230107,0.0192108329,0.0960090986,0.2853092466
AFUKET_clean,0.0002325298,0.0012618617,0.0023718039,0.0121117021,0.0240869891,0.1201838133,0.3504735974,0.0002061764,0.0009177177,0.0018540378,0.0093818032,0.0188705701,0.0931266433,0.2755106336
AFUKIX_clean,0.0003160088,0.0017357247,0.00368522,0.0174223074,0.0349375619,0.1749178455,0.5129915027,0.0003113616,0.0013058598,0.0026326319,0.0137765898,0.0284454398,0.1422341699,0.4228197838
AFUPEX_clean,0.0001846676,0.0010932321,0.0021402973,0.0104798852,0.0212774004,0.10667693,0.3097688117,0.0001772809,0.0009048712,0.0016509283,0.0084559292,0.0167087241,0.0838963354,0.2475469121
AGABIU_clean,0.0004379373,0.0024481413,0.0049393585,0.024402441,0.049307438,0.2443008378,0.7298225933,0.0003984512,0.002164559,0.0039378461,0.01979692,0.0416866102,0.2061141367,0.6098062216
