,MOF,Ar_273_0.01,Ar_273_0.05,Ar_273_0.1,Ar_273_0.5,Ar_273_1,Ar_273_5,Ar_273_15,Ar_293_0.01,Ar_293_0.05,Ar_293_0.1,Ar_293_0.5,Ar_293_1,Ar_293_5,Ar_293_15,Ar_313_0.01,Ar_313_0.05,Ar_313_0.1,Ar_313_0.5,Ar_313_1,Ar_313_5,Ar_313_15
4475,KOCWEF_clean,0.005357016,0.026350903,0.052795401,0.262098606,0.49573912,2.124354007,4.443179016,0.003473416,0.017504873,0.035180037,0.172656857,0.344008583,1.476009439,3.423288123,0.002485468,0.012523536,0.024631094,0.121884139,0.240160969,1.074677792,2.648052075
4476,KOCWIJ_clean,,,,,,,,0.003421192,0.017801102,0.034454992,0.168656131,0.31174419,1.081455587,1.918316395,,,,,,,
4477,KODPUP_clean,0.0050093,0.024085637,0.04833191,0.239247043,0.447167976,1.721223251,3.272069202,0.00324624,0.016082387,0.031980485,0.156398969,0.300580685,1.232974771,2.567356584,0.002186826,0.010871058,0.021774638,0.108628783,0.211623459,0.898539179,2.016312854
4478,KODSUT_clean,,,,,,,,0.000287776,0.00153396,0.003133841,0.015380162,0.030092228,0.145921381,0.43437422,,,,,,,
4479,KOFPEB01_clean,0.002947169,0.014526677,0.029213826,0.14010839,0.263678104,1.000908709,1.909013127,0.001935636,0.009467906,0.018772019,0.092756702,0.177395685,0.700960362,1.497570368,0.001260543,0.006359156,0.012857758,0.06329275,0.123721333,0.508276525,1.158765426
4480,KOFPEB02_clean,0.002965983,0.014362883,0.02973066,0.142205605,0.275579664,1.015819416,1.926712743,0.001901328,0.009526561,0.019040949,0.092314018,0.17886761,0.710659571,1.512921545,0.001241729,0.006447693,0.013010484,0.06279141,0.122650038,0.509780544,1.179924618
4481,KOFPEB03_clean,0.002890727,0.01452889,0.02863391,0.138402949,0.2615499,1.001712181,1.91154196,0.001876981,0.009423637,0.018913677,0.090804466,0.178572118,0.705959372,1.500405759,0.001257223,0.006310461,0.012734913,0.062358686,0.123310744,0.508760158,1.163852973
4482,KOFPEB04_clean,0.003285822,0.016267532,0.031363057,0.15668248,0.298701051,1.067471794,1.980345027,0.00203524,0.010275804,0.020537221,0.09973451,0.194004085,0.756244964,1.554538275,0.001390028,0.007099545,0.013970001,0.068297293,0.133863225,0.53219591,1.210232984
4483,KOFPEB_clean,0.002957129,0.014767939,0.02879549,0.140683879,0.270395834,0.993647583,1.899181114,0.001883621,0.009619525,0.018919211,0.091408729,0.180355029,0.700585188,1.479682611,0.001260543,0.006428879,0.013170957,0.06373322,0.121735895,0.516222762,1.156656036
4484,KOFVOS_clean,0.008437717,0.042334291,0.084489506,0.400682538,0.739261213,2.481555412,4.137533665,0.005391197,0.026938186,0.052968756,0.258161233,0.483152203,1.839654884,3.398878567,0.003445827,0.018053332,0.035833045,0.173683935,0.334828084,1.360112987,2.773453055
4485,KOGJOG_clean,,,,,,,,0.001980138,0.009867992,0.019585788,0.095050692,0.185998065,0.735069379,1.484544311,,,,,,,
