name,H2_293_0.01,H2_293_5
BEPLUF_clean,0.0010504469,0.522881213
BEPMAM_clean,0.0010674811,0.512223436
BEPMIU_clean,0.0007711707,0.3842934685
BEPNIV_clean,0.0010576441,0.5099612131
BEPNOB_clean,0.0010376886,0.5051462241
BEPNUH_clean,0.0008024959,0.3801626168
BEPPAP_clean,0.0007662114,0.3746178795
BEPPIX_clean,0.0009882135,0.4941118441
BEPPOD_clean,0.0011120306,0.5116977025
BEPREV01_clean,0.0043520175,1.9137198909
BEPREV02_clean,0.0038634177,1.754139866
BEPREV03_clean,0.004093347,1.8603611615
BEPREV_clean,0.0041735197,1.8585988743
BEPRIZ_clean,0.0026044263,1.2539111596
BEPROF_clean,0.0032176695,1.4079599042
BEPVAV_clean,0.0009734093,0.3983919482
BEPVEZ_clean,0.0011162197,0.4836021915
BEPVID_clean,0.0011736722,0.4905966212
BEPVOJ01_clean,0.0011342762,0.487277509
BEPVOJ_clean,0.0012311247,0.4811448666
BEPWEA_clean,0.0005354148,0.2723415098
BERQIA_clean,0.0049478136,1.720933392
BETDAH_clean,0.002855923,1.2131038135
BETDEL_clean,0.0028308924,1.254546119
BETDIP_clean,0.0030550812,1.2990785475
BETDOV_clean,0.0022311684,0.885848857
BETDUB_clean,0.0031348976,1.2901512054
BETFAJ_clean,0.0029015297,1.2798844092
BETFEN_clean,0.0030223952,1.3158525187
BETFIR_clean,0.0036754544,1.3974245166
BETFOX_clean,0.0027966724,1.0028672634
BETFUD_clean,0.0031040388,1.309372378
BETGAK_clean,0.0028967149,1.2886392033
BETGEO_clean,0.0020314175,0.8056246979
BETGIS_clean,0.0014930359,0.6818107117
BETGOY_clean,0.0017239642,0.7787163973
BETGUE_clean,0.0022400326,1.0188216661
BETHEP_clean,0.0015611357,0.7125368075
BETHIT_clean,0.0020132332,1.010740776
BETZOR_clean,0.0029495226,1.1866044165
BEVQID_clean,0.0003339567,0.1874808716
BEWCUD_clean,0.0026877519,1.2411029342
BEWVEG_clean,0.0020480223,0.9353263072
BEWVOQ_clean,0.0012578908,0.6308434753
BEWWEH_clean,0.001175061,0.5999928607
BEXPAX_clean,0.0039938912,1.8252589533
BEXQIF_clean,0.0017103405,0.8337069343
BEXQOL_clean,0.0014790764,0.7388006916
BEXQUR_clean,0.0015352144,0.7540539029
BEXRAY_clean,0.0015466764,0.758538278
BEXREC_clean,0.0016594022,0.7833867408
BEXRIG_clean,0.0015575226,0.7941296906
BEXRUT_clean,0.0020198023,0.8962484375
BEXSAA_clean,0.0021465346,0.9422884275
BEXSEE_clean,0.0020973376,0.8805247663
BEXSII_clean,0.0030496158,1.3277350749
BEXTUV_clean,0.0050173301,1.7288836881
BEXVAD01_clean,0.0054921336,1.7159376572
BEXVAD_clean,0.0051570195,1.7424366704
BEXVEH_clean,0.0026523189,1.1862426172
BEXVIL_clean,0.0021375747,1.0488818327
BEYKEX_clean,0.0009120732,0.4285300793
BEYSEF_clean,0.0012329831,0.5982277674
BEZDUH_clean,0.0002665709,0.122825776
BIBBUL_clean,0.000609081,0.2688409157
BIBMAC_clean,0.0008295297,0.3407698179
BIBMEG_clean,0.0030333651,0.9427939402
BIBXIV_clean,0.0022729494,1.0674445673
BIBXOB_clean,0.0022757837,1.1103394805
BIBXUH_clean,0.002313409,1.0396817147
BICPUA_clean,0.0022933942,1.0357024387
BIDPOV_clean,0.0035109629,1.5537590218
BIFGOO_clean,0.0006060584,0.2818499112
BIFKEI_clean,0.0029291837,1.2518478768
BIGZUO_clean,0.0021915499,1.0645538404
BIHBAX_clean,0.0020698442,1.0202232981
BIHBEB_clean,0.0056764326,1.9133344076
BIHMUC_clean,0.0009352107,0.4384918547
BIHRER_clean,0.0014244374,0.610598822
BIJDUV_clean,0.0020605795,0.9222267036
BIJFAD_clean,0.0022197496,1.0349455937
BIJJOV_clean,0.0084635003,0.9010153827
BIMDEF_clean,0.0027870197,1.1227471956
BIMDIL_clean,0.0030903077,1.2168490395
BINCUY_manual,0.0023882264,1.0738982529
BINDAF_manual,0.0024472276,1.0949228836
BINMIW_clean,0.0049675799,1.2317285964
BINROH_clean,0.0028730319,1.3767238384
BINRUN_clean,0.0029892718,1.4360937224
BINSAU_clean,0.0029004973,1.3704147847
BIPBAF_clean,0.0026571106,1.1937222833
BIPKIW_clean,0.0023678558,1.0028637218
BIPLIX_clean,0.0014647785,0.6412473221
BIPSUQ_clean,0.0023197106,1.1433875415
BIQHEQ_clean,0.0041162286,1.5600984825
BIQVII_clean,0.0016131026,0.6546507913
BIRGIU_clean,0.0014842641,0.6730960271
BIRLIZ_clean,0.0017022862,0.6545033395
