mof_name,base_atoms,core_atoms
NULMAJ_clean,214,214
XEHFUL_clean,32,32
UQOWUU_clean,160,160
JOZWUS_clean,485,485
SOBTUY_clean,204,204
MIDSEZ_clean,132,132
HAKWUM_clean,18,18
SOKWUM_clean,164,164
SEZPOE_clean,92,92
XUVHEB_clean,404,404
XAFFUH_clean,608,608
JOKXAI_clean,120,120
MAGVOG20_clean,52,52
c6cc02494g_c6cc02494g4_clean,324,324
NOMPOW_clean,620,620
YEDKOI_clean,80,80
AWEVIJ_clean,1704,1704
GOQTIR_clean,84,84
DEFRIR_clean,168,168
IVIPEK_clean,200,200
XAVDUV_clean,56,56
WASQIT_clean,760,760
KOVGOT01_clean,358,358
MAVNUU_manual,376,376
BIRMUM_clean,392,392
LIXWAR01_clean,138,138
OWAVOY_clean,234,234
cm501138g_si_002_clean,156,156
XADDUD_clean,272,272
NIGGIU_clean,76,76
HUVHIR_clean,104,104
IGEXOH_clean,44,44
LAKFIN_clean,648,648
CODSOF_clean,250,250
POVXII_clean,156,156
VURNED03_clean,144,144
RUGGIL_clean,26,26
YATVUN_clean,660,660
ASUBIB_clean,100,100
SADMUH_SL,76,76
UMALUQ_clean,552,552
ZEZPAX_clean,120,120
LIDZOP_clean,120,120
ic502488c_si_002_clean,372,372
TIGVUC_clean,456,456
EZEQEH_clean,224,224
LOJLAZ01_clean,148,148
EWECOY_clean,156,156
KEFBOO_clean,102,102
VIDWIQ_clean,172,172
AJOXAA_clean,164,164
FIHFAF_clean,95,95
NAXKOO02_clean,60,60
c6cc00589f_c6cc00589f3_clean,116,116
COTXIU_clean,388,388
TEJGEW_clean,160,160
OCEGIP_clean,44,44
MECWIB_clean,696,696
HIYBUN_clean,162,162
ECIYEU01_clean,152,152
NAPZUB_clean,80,80
ROQFUA05_clean,80,80
INAMUG_clean,214,214
WANJIF_clean,108,108
VIWQUP_clean,972,972
QADWEY_clean,104,104
GEGSIW_clean,176,176
HIYYEU_clean,262,262
QUJWEZ_clean,216,216
TOHMIO_clean,434,434
ZITWIK01_clean,28,28
FUVDEH06_clean,296,296
OTOVAW_clean,210,210
ELEROE_clean,1368,1368
UFEXEJ_clean,90,90
TOVHUJ_clean,128,128
DITXOU_clean,84,84
FATKIV_clean,978,978
CAXTEC_clean,450,450
AWAJIT_clean,396,396
EPISOM_clean,420,420
TETWOG_clean,74,74
c5nj03044g_c5nj03044g2_clean,424,424
IGAGUU_clean,640,640
ENISUQ_clean,110,110
ANONAT_manual,112,112
c5cc06190c_c5cc06190c2_clean,52,52
INESIE_clean,220,220
NIGDIS_clean,288,288
UMOYOM02_clean,756,756
EXEMUR_clean,296,296
YAXBOP_SL,76,76
MUVMOG_clean,139,139
WILNEL_clean,510,510
OTIPAK_clean,140,140
BOPWIO_clean,272,272
FAJYAS_clean,496,496
FOJLOH_clean,568,568
PUFXIZ_clean,140,140
QIDDAI_clean_h,154,154
REZJIR03_clean,104,104
GIVHIC_clean,510,510
MUJPUE_clean,688,688
VABJIS_clean,84,84
NUTYIM_clean,1056,1056
MEJQID_clean,112,112
HIHGAI_clean,326,326
ZOZKEG_clean,600,600
DUWSAR_clean,40,40
KASPOL_clean,54,54
VOHQIS_clean,116,116
SARTIR_clean,66,66
NAGQET_clean,153,153
CIYZUG_clean,140,140
NAVFUM_clean,64,64
ULOGIL_clean,39,39
MAGBIH_clean,332,332
KOMHUR_clean,238,238
HOBGAH_clean,240,240
IHAJIL_clean,92,92
SEHXIN_clean,76,76
KINFEU_clean,200,200
INIRAY01_clean,212,212
IZEVAM_clean,64,64
acs.inorgchem.6b00894_ic6b00894_si_003_clean,564,564
EMOHIZ_clean,204,204
FAFGAU_clean,94,94
WOJZEC_clean,232,232
WIVRAW02_clean,108,108
NAYHAY_clean,380,380
MUNNUF_clean,180,180
ELIKUG_clean,60,60
AMODUC_clean,184,184
