Unnamed: 0,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std
433,He,273,0.5,5,struct+input,qt_then_rd,gbm,-0.334233121,1.331960353,0.008176524,0.003333749,0.038421786,0.030779597,3.856243993,1.666586347
436,He,273,0.5,5,struct+input,random_struct,gbm,-0.095154848,1.076190881,0.008075284,0.003605609,0.029762265,0.02917737,3.564498758,1.036721344
439,He,273,0.5,5,struct,random_struct,gbm,-0.189342907,0.944886447,0.014227197,0.00208885,0.03025743,0.027441734,14.9347891,1.202259336
442,He,293,0.01,15,struct+input,qt_then_rd,gbm,0.988417627,0.002069043,0.013574507,0.000220093,0.000367142,5.83E-05,7.010034289,0.145897682
445,He,293,0.01,15,struct+input,random_struct,gbm,0.970848504,0.01612931,0.015560688,0.000756839,0.00391949,0.001538389,7.282472228,0.257149966
448,He,293,0.01,15,struct,random_struct,gbm,-0.416734254,0.936819008,0.038346412,0.005821882,0.251547972,0.203478638,15.00086494,1.539070161
451,He,293,0.01,1,struct+input,qt_then_rd,gbm,0.988923496,0.001259048,0.000932667,1.40E-05,1.66E-06,1.60E-07,7.110002833,0.133914315
454,He,293,0.01,1,struct+input,random_struct,gbm,0.967951287,0.022794442,0.001071917,5.48E-05,1.94E-05,9.66E-06,7.378855237,0.272994829
457,He,293,0.01,1,struct,random_struct,gbm,-0.270668668,0.958382928,0.002572125,0.000421907,0.001112304,0.000960747,14.73930264,1.353565153
460,He,293,0.01,5,struct+input,qt_then_rd,gbm,0.988862582,0.001569638,0.004616104,8.30E-05,4.11E-05,5.02E-06,7.050738771,0.166705307
463,He,293,0.01,5,struct+input,random_struct,gbm,0.968872812,0.019460891,0.005287181,0.000254552,0.000480324,0.000209881,7.293367397,0.238977403
466,He,293,0.01,5,struct,random_struct,gbm,-0.262926978,0.921820308,0.01266135,0.002167178,0.027048393,0.023663033,14.48741158,1.401579982
469,He,293,0.05,15,struct+input,qt_then_rd,gbm,0.995625233,8.25E-05,0.007854842,0.000147921,0.000116875,4.75E-06,3.790759321,0.029078701
472,He,293,0.05,15,struct+input,random_struct,gbm,0.972875693,0.020208581,0.010118467,0.000780863,0.003646328,0.001887929,4.046934519,0.149058023
475,He,293,0.05,15,struct,random_struct,gbm,-0.416734254,0.936819008,0.038346412,0.005821882,0.251547972,0.203478638,15.00086494,1.539070161
478,He,293,0.05,1,struct+input,qt_then_rd,gbm,0.995477329,0.000203897,0.000547449,1.47E-05,5.70E-07,3.73E-08,3.895345213,0.030433339
481,He,293,0.05,1,struct+input,random_struct,gbm,0.971738594,0.024977261,0.000698705,4.97E-05,1.72E-05,1.02E-05,4.180160776,0.123924936
484,He,293,0.05,1,struct,random_struct,gbm,-0.270668668,0.958382928,0.002572125,0.000421907,0.001112304,0.000960747,14.73930264,1.353565153
487,He,293,0.05,5,struct+input,qt_then_rd,gbm,0.9956985,0.000111006,0.002661724,5.48E-05,1.34E-05,6.02E-07,3.813849174,0.033719744
490,He,293,0.05,5,struct+input,random_struct,gbm,0.971977578,0.021203414,0.003421091,0.000246757,0.000442297,0.000250093,4.078967482,0.119923385
493,He,293,0.05,5,struct,random_struct,gbm,-0.262926978,0.921820308,0.01266135,0.002167178,0.027048393,0.023663033,14.48741158,1.401579982
496,He,293,0.1,15,struct+input,qt_then_rd,gbm,0.997356839,0.000136885,0.006119249,0.000110882,7.34E-05,3.82E-06,2.85186594,0.038956061
499,He,293,0.1,15,struct+input,random_struct,gbm,0.976742836,0.018598943,0.008135459,0.000623739,0.003155761,0.001727633,3.105229615,0.198231097
502,He,293,0.1,15,struct,random_struct,gbm,-0.416734254,0.936819008,0.038346412,0.005821882,0.251547972,0.203478638,15.00086494,1.539070161
505,He,293,0.1,1,struct+input,qt_then_rd,gbm,0.997317096,0.000152941,0.000426641,8.27E-06,3.51E-07,1.98E-08,2.968765202,0.042799136
508,He,293,0.1,1,struct+input,random_struct,gbm,0.972753251,0.026170832,0.000567447,5.64E-05,1.66E-05,1.13E-05,3.198649337,0.175742685
511,He,293,0.1,1,struct,random_struct,gbm,-0.270668668,0.958382928,0.002572125,0.000421907,0.001112304,0.000960747,14.73930264,1.353565153
514,He,293,0.1,5,struct+input,qt_then_rd,gbm,0.99740677,0.000142973,0.002068595,4.81E-05,8.35E-06,4.19E-07,2.869251539,0.04095145
517,He,293,0.1,5,struct+input,random_struct,gbm,0.974791873,0.020860874,0.002747664,0.000226511,0.000404505,0.000246628,3.100978048,0.173681754
520,He,293,0.1,5,struct,random_struct,gbm,-0.262926978,0.921820308,0.01266135,0.002167178,0.027048393,0.023663033,14.48741158,1.401579982
523,He,293,0.2,15,struct+input,qt_then_rd,gbm,0.997044123,0.002002118,0.004674392,0.000169643,8.07E-05,5.36E-05,2.137724406,0.027466989
526,He,293,0.2,15,struct+input,random_struct,gbm,0.975334281,0.021114356,0.006731335,0.000724572,0.003327768,0.002018544,2.339325801,0.147955531
529,He,293,0.2,15,struct,random_struct,gbm,-0.416734254,0.936819008,0.038346412,0.005821882,0.251547972,0.203478638,15.00086494,1.539070161
