,gas,temperature,low_pressure,high_pressure,struct_info,sampling,model,trial_001_Model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_percent_mean,MAPE_percent_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std
97,Ar,273K,0.5,1,struct,random_struct,gbm,gbm,0.288677376,0.025899722,0.226239667,0.007673912,0.160550438,0.02296257,55.95084672,3.346199166,13.80972896,0.110439945,0.011587667,0.000347204
98,Ar,273K,0.5,1,struct,random_struct,rf,rf,0.368565771,0.04974628,0.204124557,0.010165879,0.143212792,0.027808885,51.3716324,3.234273335,41.56547203,0.521617153,0.310767555,0.008580929
99,Ar,273K,0.5,5,struct+input,qt_then_rd,cat,cat,0.956943409,0.00301361,0.101942136,0.002311882,0.027106146,0.002110252,5.213567747,0.087247375,3.457653284,0.049613858,0.002358246,4.10E-05
100,Ar,273K,0.5,5,struct+input,qt_then_rd,gbm,gbm,0.955427737,0.001844826,0.103098023,0.00172498,0.028058455,0.001480534,5.20618135,0.091170556,15.52596884,0.156643536,0.012275839,0.000258032
101,Ar,273K,0.5,5,struct+input,qt_then_rd,rf,rf,0.953318134,0.004053627,0.100932311,0.002898949,0.029401012,0.002907247,5.116051257,0.114787842,35.80223665,0.154895216,0.298126793,0.027340569
102,Ar,273K,0.5,5,struct+input,random_struct,cat,cat,0.95500441,0.008067446,0.115314926,0.006581094,0.046856871,0.011517272,5.920933348,0.351706821,3.508722782,0.084974921,0.002308798,2.19E-05
103,Ar,273K,0.5,5,struct+input,random_struct,gbm,gbm,0.951202044,0.007386851,0.118908083,0.007177645,0.050727011,0.0110065,5.830979493,0.325818794,15.44338369,0.037993575,0.0126122,8.63E-05
104,Ar,273K,0.5,5,struct+input,random_struct,rf,rf,0.95058416,0.006530639,0.115968327,0.006089372,0.051323264,0.01025096,5.514786865,0.314603027,35.79429679,0.133776003,0.285590315,0.007608494
105,Ar,273K,0.5,5,struct,random_struct,cat,cat,0.536265239,0.03344935,0.466601951,0.019993135,0.479492207,0.062976628,31.42590048,1.658490331,3.255300283,0.04144105,0.002351046,0.000160886
106,Ar,273K,0.5,5,struct,random_struct,gbm,gbm,0.482032534,0.024437145,0.486079967,0.019711407,0.534939416,0.057222296,32.11065719,1.351240811,13.72081394,0.107137188,0.012123394,0.000397726
107,Ar,273K,0.5,5,struct,random_struct,rf,rf,0.531827906,0.039540325,0.44721471,0.021846358,0.484481654,0.070997794,30.2847758,1.312545915,39.01335859,0.605821416,0.297100735,0.016904969
108,Ar,293K,0.01,15,struct+input,qt_then_rd,cat,cat,0.961618735,0.003874789,0.184616761,0.00584806,0.071745877,0.005819282,7.682129239,0.22277692,3.765114355,0.090527658,0.003020477,4.20E-05
109,Ar,293K,0.01,15,struct+input,qt_then_rd,gbm,gbm,0.958950897,0.004003507,0.192159874,0.004641628,0.076732935,0.005914282,7.89898712,0.237376562,22.70320253,0.096304894,0.017743397,0.000260688
110,Ar,293K,0.01,15,struct+input,qt_then_rd,rf,rf,0.956846953,0.004793106,0.184284749,0.0071305,0.080702501,0.008109334,7.502777475,0.281276902,56.46600132,1.806426397,0.447121811,0.013161298
111,Ar,293K,0.01,15,struct+input,random_struct,cat,cat,0.966081447,0.00280801,0.180543397,0.002195409,0.078603864,0.00672765,813491020.2,824464418.4,3.657041168,0.029453009,0.002974463,5.72E-05
112,Ar,293K,0.01,15,struct+input,random_struct,gbm,gbm,0.963467853,0.002369682,0.185653427,0.001346071,0.08466846,0.00588271,406140047,380275025.2,22.77696838,0.170744128,0.018078136,8.96E-05
113,Ar,293K,0.01,15,struct+input,random_struct,rf,rf,0.961299627,0.00203891,0.178783962,0.001952373,0.089760151,0.006351001,10598335.41,13137789.45,55.42779622,0.17611105,0.471862602,0.05433004
114,Ar,293K,0.01,15,struct,random_struct,cat,cat,0.775084396,0.011097695,0.503718202,0.003377145,0.520969036,0.020471759,3938288147,4232065563,3.475303984,0.063872355,0.002952385,4.43E-05
115,Ar,293K,0.01,15,struct,random_struct,gbm,gbm,0.758484192,0.013038285,0.520270388,0.00214452,0.559430293,0.024703424,7673791426,8783835559,20.36074915,0.045098697,0.016195345,0.000319134
116,Ar,293K,0.01,15,struct,random_struct,rf,rf,0.777349552,0.010995216,0.48011695,0.005279931,0.516106289,0.029922452,3703962329,5491941177,57.6220881,1.281233173,0.454764223,0.005899317
117,Ar,293K,0.01,1,struct+input,qt_then_rd,cat,cat,0.986115931,0.001626908,0.013812887,0.000599286,0.000575834,6.42E-05,4.379296721,0.115099275,3.675120783,0.081070265,0.00289855,4.66E-05
118,Ar,293K,0.01,1,struct+input,qt_then_rd,gbm,gbm,0.986364168,0.0020346,0.012803524,0.000569944,0.000565562,8.20E-05,3.439984653,0.085265872,22.88220763,0.096658589,0.016132736,9.00E-05
119,Ar,293K,0.01,1,struct+input,qt_then_rd,rf,rf,0.985281685,0.002496814,0.01274771,0.000708362,0.000610391,0.000101259,3.352757651,0.121119083,57.03300281,0.284785081,0.43714242,0.020441967
