folder,mean,std,count,GAS,TEMP,SAMPLING,MODEL,TRAIN_RATIO,QT_FRAC,LOW,HIGH
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9598617627927832,0.0028569861659038,5,Ar,293,qt_then_rd,cat,RATIO0.5,0.5,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9602003600010672,0.0017743860858448,5,Ar,293,qt_then_rd,cat,RATIO0.65,0.65,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9612776026270144,0.0009369902789697,5,Ar,293,qt_then_rd,cat,RATIO0.6,0.6,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9606333876736592,0.0014001136909496,5,Ar,293,qt_then_rd,cat,RATIO0.75,0.75,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9587518488937604,0.0017125490207009,5,Ar,293,qt_then_rd,cat,RATIO0.7,0.7,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9585963482355012,0.0025597013660105,5,Ar,293,qt_then_rd,cat,RATIO0.8,0.8,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.9007193064415366,0.0289588032017885,5,Ar,293,random_struct,cat,RATIO0.05,0.05,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9411583765749268,0.0072014353734219,5,Ar,293,random_struct,cat,RATIO0.15,0.15,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.9286526082204556,0.0193458873963422,5,Ar,293,random_struct,cat,RATIO0.1,0.1,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9480317705422736,0.0033849032473682,5,Ar,293,random_struct,cat,RATIO0.25,0.25,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9435207711981732,0.0049289461120473,5,Ar,293,random_struct,cat,RATIO0.2,0.2,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9494532205599756,0.0053626548784359,5,Ar,293,random_struct,cat,RATIO0.35,0.35,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9491081794518978,0.0041822559667694,5,Ar,293,random_struct,cat,RATIO0.3,0.3,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9536741838683834,0.0026589375219988,5,Ar,293,random_struct,cat,RATIO0.45,0.45,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.951713314914856,0.0020086142135132,5,Ar,293,random_struct,cat,RATIO0.4,0.4,0.01,5
./try09_all\Ar_293_0.01_to_5__struct+input__random_struct__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9548494727695293,0.0032312251185454,5,Ar,293,random_struct,cat,RATIO0.55,0.55,0.01,5
