folder,filename,num_atoms,a,b,c,aspect_ratio_ab,aspect_ratio_ac,aspect_ratio_bc
,HUFHOH_clean.cif,132,14.5653,17.410091683082353,17.410091683082353,0.8366009935578524,0.8366009935578524,1.0
,BIBXOB_clean.cif,188,22.9539,22.953899999999997,22.953899999999997,1.0000000000000002,1.0000000000000002,1.0
,QALNEW_clean.cif,60,9.4891,9.5461,10.9842,0.994028975183583,0.8638863094262669,0.8690755812894885
,LENGAO_clean.cif,372,12.1583,16.7831,43.41,0.724437082541366,0.2800806265837365,0.38661829071642484
,MAKRAU_clean.cif,210,12.6368,14.4827,18.082,0.8725444841086262,0.6988607454927551,0.8009456918482468
,XADGOA_clean.cif,84,9.832,11.75,14.63,0.8367659574468086,0.6720437457279562,0.8031442241968557
,jacs.6b02030_ja6b02030_si_002_clean.cif,114,14.253471283866258,14.253471283866256,14.253471283866258,1.0000000000000002,1.0,0.9999999999999999
,KESBUG_clean.cif,664,12.335,26.939,33.458,0.4578863357956866,0.3686711698248551,0.8051587064379222
,CUQXUI_clean.cif,228,11.403,14.682,22.264,0.776665304454434,0.5121721164211284,0.6594502335609055
,VECZAG_clean.cif,96,10.0393,13.9688,19.893,0.718694519214249,0.5046649575227468,0.702196752626552
,IHOTEG_clean.cif,260,12.069,17.474919592089687,17.474919592089687,0.6906469547054874,0.6906469547054874,1.0
,HAMREU_clean.cif,178,13.437700000000001,13.4377,14.853,1.0000000000000002,0.904712852622366,0.9047128526223658
,AMIKOX_clean.cif,204,9.1351,15.583,17.419,0.5862221651800038,0.5244330903036913,0.8945978529192261
,CUMQOQ_clean.cif,73,11.491,12.093999999999998,12.62,0.9501405655697042,0.9105388272583201,0.9583201267828841
,jz4002345_si_002_clean.cif,114,14.754700000000001,14.7547,14.7547,1.0000000000000002,1.0000000000000002,1.0
,UMOBEF03_clean.cif,240,20.857,21.53999312049823,21.539993120498227,0.9682918598591255,0.9682918598591256,1.0000000000000002
,PEPKOL_clean.cif,100,6.569699999999999,7.8511,22.6167,0.8367872017933792,0.2904800435076735,0.34713729235476437
,VUKHOZ_clean.cif,296,6.7681,30.984,30.984,0.2184385489284792,0.2184385489284792,1.0
,AJINOY_clean.cif,118,9.9983,11.0159,12.3746,0.9076244337730008,0.8079695505309263,0.8902025115963345
,ROQMER03_clean.cif,80,12.8434,12.8434,12.8434,1.0,1.0,1.0
,TAJVIM_clean.cif,116,8.7745,11.226732319000929,17.65528999514027,0.7815720327765725,0.4969898541692171,0.6358849003381513
,ZOJWAY_clean.cif,990,18.495100000000004,18.4951,46.337,1.0000000000000002,0.39914323326930967,0.3991432332693096
