folder,mean,std,count
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.982764390052193,0.00040891471200619095,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9833098995973965,0.00047504977532265434,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9799232789410601,0.0006370582836723016,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.9814449378503134,0.0006723205811314605,5
./try09_all\He_293_0.01_to_15__struct+input__qt_then_rd__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9793658597402336,0.001055653970239863,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.884357249186011,0.024010755802853147,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.15_QTFRAC_0.15,0.9129439756850534,0.024696918476997617,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.1_QTFRAC_0.1,0.8991078016041089,0.017978053408043426,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.25_QTFRAC_0.25,0.9164632248645074,0.016784132367435853,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.2_QTFRAC_0.2,0.9134321184792148,0.02683723127499384,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.35_QTFRAC_0.35,0.9192923735284054,0.011943492639495118,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.3_QTFRAC_0.3,0.9218052586754247,0.01146525534397414,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.45_QTFRAC_0.45,0.9233637513395703,0.03475294632648739,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.4_QTFRAC_0.4,0.9272172939224014,0.031190240271865427,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.55_QTFRAC_0.55,0.9285042476097946,0.04984481828515937,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.5_QTFRAC_0.5,0.9169787592404033,0.032332758453183764,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.65_QTFRAC_0.65,0.9727895983140498,0.04137568482332342,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.6_QTFRAC_0.6,0.9558576206540452,0.04778345473058298,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.75_QTFRAC_0.75,0.9674111378417527,0.051056861011520356,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.7_QTFRAC_0.7,0.97195933488243,0.04281033397457233,5
./try09_all\He_293_0.01_to_15__struct+input__random_with_input__cat_TRAIN_RATIO0.8_QTFRAC_0.8,0.9618747910686475,0.06195336013555273,5
./try09_all\He_293_0.01_to_15__struct__random_struct__cat_TRAIN_RATIO0.05_QTFRAC_0.05,0.8727115474628236,0.02470810356195323,5
