GAS,TEMP,MODEL,SAMPLING,LOW,R2_MEAN_HIGH_1,R2_STD_HIGH_1,MAE_MEAN_HIGH_1,MAE_STD_HIGH_1,INPUT_HIGH_1
Ar,293,0.35,qt_then_rd__cat_TRAIN_RATIO0.35,0.01,0.9841556282708334,0.0006191422501327,0.0150024687286163,0.0002140724912467,struct+input
Ar,293,0.35,qt_then_rd__gbm_TRAIN_RATIO0.35,0.01,0.984855321023265,0.0014048538078068,0.0127538441051591,7.527684604621055e-05,struct+input
Ar,293,0.35,qt_then_rd__rf_TRAIN_RATIO0.35,0.01,0.984360929170854,0.0011905508926482,0.0126886845168323,0.0001367558954736,struct+input
Ar,293,0.35,random_struct__cat_TRAIN_RATIO0.35,0.01,0.9158312917520104,0.0175365076609072,0.0220307859072136,0.0006696302777194,struct+input
Ar,293,0.35,random_struct__gbm_TRAIN_RATIO0.35,0.01,0.9164538377272043,0.0399031075897909,0.0214261081437955,0.0023777063260812,struct+input
Ar,293,0.35,random_struct__rf_TRAIN_RATIO0.35,0.01,0.9134414716158216,0.0344851699253531,0.0217473769851664,0.0022274090102599,struct+input
Ar,293,0.4,qt_then_rd__cat_TRAIN_RATIO0.4,0.01,0.9846511608799636,0.0005734856416272,0.0144045172297198,0.0001420382779572,struct+input
Ar,293,0.4,qt_then_rd__gbm_TRAIN_RATIO0.4,0.01,0.9855171111696912,0.0007556980208808,0.012572169251367,0.000128206135829,struct+input
Ar,293,0.4,qt_then_rd__rf_TRAIN_RATIO0.4,0.01,0.984375013572949,0.0008983626287901,0.0125835736687374,0.0001188811608298,struct+input
Ar,293,0.4,random_struct__cat_TRAIN_RATIO0.4,0.01,0.9247418632100356,0.0059026482777257,0.0214171862411111,0.0005543704390479,struct+input
Ar,293,0.4,random_struct__gbm_TRAIN_RATIO0.4,0.01,0.9221048966313898,0.0369804025043582,0.0210019971811442,0.002424234654529,struct+input
Ar,293,0.4,random_struct__rf_TRAIN_RATIO0.4,0.01,0.9146096458193964,0.0348742494311342,0.0214468717689952,0.0021539280486943,struct+input
Ar,293,0.45,qt_then_rd__cat_TRAIN_RATIO0.45,0.01,0.9847310456036872,0.0007464971201068,0.0140021304242896,0.0001492950594224,struct+input
Ar,293,0.45,qt_then_rd__gbm_TRAIN_RATIO0.45,0.01,0.9858214493608544,0.0008353021931068,0.0122103897175434,0.000188571344037,struct+input
Ar,293,0.45,qt_then_rd__rf_TRAIN_RATIO0.45,0.01,0.9848327897386568,0.0009890352160676,0.012238397481677,0.0002358682637319,struct+input
Ar,293,0.45,random_struct__cat_TRAIN_RATIO0.45,0.01,0.9245313735477908,0.008267267573746,0.0211607327499076,0.0003391520522855,struct+input
Ar,293,0.45,random_struct__gbm_TRAIN_RATIO0.45,0.01,0.935726766276992,0.0127256337368229,0.0201405196904975,0.0011429163947503,struct+input
Ar,293,0.45,random_struct__rf_TRAIN_RATIO0.45,0.01,0.9291778961387028,0.0095475524543397,0.0206121108093174,0.0010398192589049,struct+input
Ar,293,0.5,qt_then_rd__cat_TRAIN_RATIO0.5,0.01,0.9847012902430832,0.0011312707848562,0.0134839084546394,0.0002385663652887,struct+input
Ar,293,0.5,qt_then_rd__gbm_TRAIN_RATIO0.5,0.01,0.985999405905456,0.0008568279827064,0.0120024378671229,0.0001770173658875,struct+input
Ar,293,0.5,qt_then_rd__rf_TRAIN_RATIO0.5,0.01,0.9845214774430132,0.0010878309692179,0.012026330607724,0.0001667835921326,struct+input
Ar,293,0.5,random_struct__cat_TRAIN_RATIO0.5,0.01,0.9252795907927354,0.0090619872929736,0.0209035549724826,0.0005650408871512,struct+input
Ar,293,0.5,random_struct__gbm_TRAIN_RATIO0.5,0.01,0.9402792634912984,0.0060900822161812,0.0195528199545892,0.0003469567036815,struct+input
Ar,293,0.5,random_struct__rf_TRAIN_RATIO0.5,0.01,0.9306241254015564,0.004665924355448,0.0201340937885094,0.0004006946067782,struct+input
Ar,293,0.55,qt_then_rd__cat_TRAIN_RATIO0.55,0.01,0.9857147618168915,0.0009593725729506,0.0129134550593515,0.0001308433527966,struct+input
Ar,293,0.55,qt_then_rd__gbm_TRAIN_RATIO0.55,0.01,0.986732662623977,0.0008813695527583,0.0115355041856164,0.0001036616547542,struct+input
Ar,293,0.55,qt_then_rd__rf_TRAIN_RATIO0.55,0.01,0.9855836637349576,0.001331453905968,0.0115599800194753,0.0001319487153842,struct+input
