,name,0.01 bar,0.05 bar,0.1 bar,0.2 bar,0.35 bar,0.5 bar,1.0 bar,5.0 bar,15.0 bar,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,from_CSD,public,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,DISORDER,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE
9297,QAJJOB_clean,8.86705e-05,0.0005336067,0.0009761677,0.0020014209,0.0034264833,0.0049061731,0.0099865204,0.0484085771,0.1430580531,QAJJOB_clean,5.4172,2.71161,4.91153,2.53284,0.0,0.0,892.976,352.559,0.5096,0.201197,0.0,In,Yes,In,clean,Y,Y,Y,N,,,,,,,,
9298,QAJJOD_clean,0.000282246,0.001453217,0.0028635139,0.0057540861,0.0099569856,0.0142718504,0.0286440032,0.1393441484,0.4053243776,QAJJOD_clean,12.20979,6.10496,12.20979,1.14685,1766.96,1540.71,0.0,0.0,0.6092,0.531194,0.000174391,Zr,No, ,clean,Y,Y,Y,N,,,,,,,,
9299,QALGUH_SL,0.0002707848,0.0013297945,0.0025523476,0.005024264,0.0085337419,0.0124587806,0.0251561736,0.1231829429,0.3640955986,QALGUH_SL,7.81866,7.32218,7.81866,0.998911,1796.0,1797.96,0.0,0.0,0.6356,0.636293,0.0,Cr,No, ,SL,Y,Y,Y,N,,,,,,,,
9300,QALHES_clean,0.0001597195,0.0008053531,0.0015576273,0.0031596479,0.0056152754,0.0080863439,0.0159405879,0.0790283537,0.2256918956,QALHES_clean,7.67318,4.16213,7.67318,1.424,1678.65,1178.83,0.0,0.0,0.625,0.438904,0.0,Cu,Yes,Cu,clean,Y,Y,Y,N,,,,,,,,
9301,QALHIX_clean,0.000407709,0.0019863735,0.0043244202,0.0085019879,0.0142041166,0.0206694919,0.0422143021,0.2085421693,0.6179689218,QALHIX_clean,10.92504,5.92348,10.86207,0.740473,2226.36,3006.67,0.00873198,0.0117924,0.7394,0.998552,0.0,Cd,Yes,Cd,clean,Y,Y,Y,N,,,,,,,,
9302,QALNEW_clean,6.48072e-05,0.000280831,0.0005724632,0.0010291993,0.0019102679,0.0027373306,0.0055996465,0.0282420308,0.0830951125,QALNEW_clean,3.78403,2.74105,3.77784,2.0029,0.0,0.0,190.282,95.0031,0.5092,0.254231,0.0,Eu,Yes,Eu,clean,N,Y,Y,N,,,,,,,,
9303,QALNIA_clean,8.79337e-05,0.0005395932,0.0009612753,0.0018346169,0.0033274915,0.0047364294,0.0095567954,0.0465648963,0.1383037374,QALNIA_clean,3.89192,2.83449,3.88804,1.54295,0.0,0.0,282.247,182.927,0.5164,0.334684,0.0,Sr,Yes,Sr,clean,N,Y,Y,N,,,,,,,,
9304,QALWUV_clean,0.0002620686,0.0013248217,0.0026597786,0.0054049829,0.0091535767,0.0131193544,0.026451549,0.1296732568,0.390159262,QALWUV_clean,7.07527,5.39947,6.79315,0.842522,2364.13,2806.02,0.0,0.0,0.7084,0.840809,0.0,"Sn,Fe",No, ,clean,Y,Y,Y,N,,,,,,,,
9305,QAMLEY_clean,0.0005043237,0.0023294952,0.0045189005,0.0089737598,0.0159262223,0.0227666128,0.0454011407,0.2237155919,0.6762660616,QAMLEY_clean,11.14892,6.14756,10.82233,0.696915,2278.27,3269.08,0.0,0.0,0.7598,1.09023,0.0,In,No, ,clean,Y,Y,Y,N,,,,,,,,
9306,QAMVEH01_clean,0.0002208144,0.001218099,0.0025049762,0.0049248846,0.0086352902,0.0124452432,0.0247058711,0.121427999,0.3617084326,QAMVEH01_clean,5.82556,4.59087,5.81673,0.990751,1901.06,1918.81,0.0,0.0,0.6228,0.628614,0.0,Ce,Yes,Ce,clean,Y,Y,Y,N,,,,,,,,
