---- START at 2025-03-26 22:58:33, Target=6013/6013 ----
[1/6013] __pycache__ FAILED: Command '/home/ys/Research/PSID_server_room/simulations/[02]RASPA/bin/simulate simulation.input' died with <Signals.SIGSEGV: 11>.
[138/6013] BEXVIL_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=45.6s, Completed=117/6013, ETA=2025-03-27 03:41:04
[124/6013] SERJOP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=88.6s, Completed=118/6013, ETA=2025-03-27 03:41:12
[126/6013] IKOTUZ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=86.4s, Completed=119/6013, ETA=2025-03-27 03:45:04
[115/6013] c5ra23254f_c5ra23254f2_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=120.6s, Completed=120/6013, ETA=2025-03-27 03:44:12
[123/6013] PEGCIP_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=98.7s, Completed=121/6013, ETA=2025-03-27 03:41:54
[139/6013] DALSER_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.4s, Completed=122/6013, ETA=2025-03-27 03:42:51
[121/6013] ELERIX_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=105.9s, Completed=123/6013, ETA=2025-03-27 03:42:19
[133/6013] HAJYEZ_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=80.8s, Completed=124/6013, ETA=2025-03-27 03:44:05
[140/6013] EYIYES_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=61.7s, Completed=125/6013, ETA=2025-03-27 03:43:27
[130/6013] UHAXUW_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=98.6s, Completed=126/6013, ETA=2025-03-27 03:44:15
[113/6013] WONXIH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=141.8s, Completed=127/6013, ETA=2025-03-27 03:43:50
[117/6013] WEJSAH_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=132.8s, Completed=128/6013, ETA=2025-03-27 03:45:52
[74/6013] CUHLUO_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=260.5s, Completed=129/6013, ETA=2025-03-27 03:46:34
[142/6013] VUCDAA_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=65.9s, Completed=130/6013, ETA=2025-03-27 03:45:25
[148/6013] UNAGUN_clean_helium_293.0K_0.05bar_14.0 Done. TimeForThis=60.9s, Completed=131/6013, ETA=2025-03-27 03:45:57
